"identifiant","nature_contrat","localisation_emploi","region_emploi","entreprise_groupe","groupe","intitule_emploi","remuneration_annuelle_brute","prime","remuneration_prime","taille_entreprise_premier_emploi","secteur_premiere_entreprise","status_cadre_premier_emploi","nom_entreprise_premier_emploi"
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Bourgogne-Franche-Comté","Oui","PSB industrie","Ingénieur Qualité Client ",33500,"Non",33500,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","A l étranger","","Non","","Chargé d opérations",38000,"Non",38000,"250 à  4 999 salarié(e)s ","Administration d État, Collectivités territoriales, Hospitalière","Oui","Ville de Nouméa"
NA,"","","","","","",NA,"",NA,"","","",""
NA,"","","","","","",NA,"",NA,"De 50 à 249 salarié(e)s ","Autres secteurs ","Non","ONG Conseil"
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Auvergne-Rhône-Alpes","Oui","VISIATIV ","Consultante scientifique en financement de l innovation",30000,"Oui",36000,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Pays de la Loire","Non","","Technicien Process conditionnement",28600,"Oui",31000,"De 20 à 49 salarié(e)s ","Hébergement et restauration","Oui","Ginette et marcel"
NA,"CDD (contrat de travail à durée déterminée)","En France","Pays de la Loire","Non","","Chef de produits ",33500,"Oui",34500,"","","",""
NA,"","","","","","",NA,"",NA,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Non","","Ingénieur hydraulique ",28000,"Non",28000,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Île-de-France","Non","","Chargé d études ",NA,"Oui",NA,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","A l étranger","","Oui","Veolia Environment","Proposals Engineer",28000,"Non",28000,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Auvergne-Rhône-Alpes","Oui","Sofabo boissons","Opérateur de production",21600,"Non",21600,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Oui","SUEZ","Ingénieur Hydraulique et Environnement",30000,"Oui",40800,"","Autres secteurs ","Non","Elior Services"
NA,"","","","","","",NA,"",NA,"","","",""
NA,"","En France","Occitanie","Non","","Ingénieur R&D",NA,"Non",NA,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Provence-Alpes-Côte d Azur","Oui","GIVAUDAN ","Chef d atelier et amélioration continue",32000,"Non",32000,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Non","","Chef de projet",35520,"Oui",43600,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Oui","Transasia","Ingénieur électronique",31000,"Oui",32000,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Provence-Alpes-Côte d Azur","Oui","SNCF","ingénieur d étude hydraulique ",33000,"Oui",33000,"","","",""
NA,"","","","","","",NA,"",NA,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Non","","Ingénieur ouvrages hydrauliques",28150,"Oui",30500,"","","",""
NA,"Mission d intérim","En France","Occitanie","Non","","Assistant conducteur de travaux",26000,"Non",26000,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Non","","Ingenieur etudes et travaux",30000,"Non",30000,"250 à  4 999 salarié(e)s ","Construction, BTP","Non","Metropole europeenne de lille "
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Provence-Alpes-Côte d Azur","Oui","Bouygues ","Conducteur de travaux ",36000,"Oui",42000,"","","",""
NA,"CDD (contrat de travail à durée déterminée)","En France","Hauts-de-France","Non","","",24600,"Non",24600,"250 à  4 999 salarié(e)s ","Sociétés de conseil, bureaux d études","Oui","Ginger burgeap"
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Corse","Non","","Ingénieur d études ",28000,"Oui",28000,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Nouvelle-Aquitaine","Oui","Edf ","Ingénieur génie civil",34560,"Oui",40300,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Auvergne-Rhône-Alpes","Non","","Responsable qualité adjoint",27000,"Oui",30000,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Auvergne-Rhône-Alpes","Oui","Hiq consulting ","Ingénieur consultant ",31000,"Non",31000,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Île-de-France","Oui","Scalian","ingénieur d étude et réalisation",33500,"Non",33500,"","","",""
NA,"","","","","","",NA,"",NA,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Oui","","",29640,"Oui",29640,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Centre-Val de Loire","Oui","COLAS en cours de cession à OpenGate","Ingénieur travaux ",33600,"Oui",36400,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Non","","Service Line Leader sur le bundle HCORE ",30000,"Oui",33000,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Île-de-France","Oui","Capgemini","Consultant PLM",38000,"Non",38000,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Provence-Alpes-Côte d Azur","Oui","SETEC","Ingénieur d affaire",34000,"Oui",35400,"250 à  4 999 salarié(e)s ","Énergie (Production et distribution d électricité, de gaz, de vapeur et d air conditionné)","Oui","SITES"
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Nouvelle-Aquitaine","Oui","MCA Groupe","Ingénieur d études",31000,"Oui",33000,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Auvergne-Rhône-Alpes","Oui","Thermi Lyon","Ingénieur méthodes industrialisation ",31200,"Oui",34300,"","","",""
NA,"","","","","","",NA,"",NA,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Auvergne-Rhône-Alpes","Non","","Ingenieur commercial CAO/PLM",38000,"Non",38000,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Oui","Expleo","Ingenieur M&P",33780,"Non",33780,"","","",""
NA,"","","","","","",NA,"",NA,"","","",""
NA,"","","","","","",NA,"",NA,"","","",""
NA,"","","","","","",NA,"",NA,"","","",""
NA,"","","","","","",NA,"",NA,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Normandie","Oui","Orano","Ingénieur Etudes Matériaux",33980,"Oui",36800,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Centre-Val de Loire","Non","","Ingénieur modélisation et simulation numérique",32824,"Non",32854,"","","",""
NA,"","","","","","",NA,"",NA,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Auvergne-Rhône-Alpes","Oui","Gerflor Group","Ingénieur R&D Process",35000,"Oui",40000,"250 à  4 999 salarié(e)s ","Fabrication de produits en caoutchouc et en plastique ainsi que d autres produits minéraux non métalliques","Oui","Gerflor"
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Île-de-France","Non","","Ingénieur chargé de projet",37400,"Non",37400,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Provence-Alpes-Côte d Azur","Oui","Saint-Gobain","Ingénieur R&D",36000,"Oui",42700,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Provence-Alpes-Côte d Azur","Oui","PARLYM","Ingénieur Etudes",32308,"Oui",35000,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Provence-Alpes-Côte d Azur","Oui","ALTEN","Ingénieur d étude consultant",32500,"Oui",32500,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Normandie","Oui","Groupe Ponticelli Frères","Ingénieur d Affaires",36000,"Oui",40000,"5 000 salarié(e)s ou plus","Métallurgie et fabrication de produits métalliques à l exception des machines et des équipements","Oui","Clemessy Service"
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Provence-Alpes-Côte d Azur","Oui","BOCCARD","Ingénieur Calcul",32000,"Oui",33000,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Non","","Ingénieur Qualité Métallurgie ",32000,"Oui",33000,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Nouvelle-Aquitaine","Oui","","Ingenieur d affaires ",33600,"Non",33600,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Oui","Métis","Ingénieur d affaires / iwe",39000,"Non",39000,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Non","","Préparateur qualité soudage",28000,"Oui",50000,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Île-de-France","Non","","Assistante Qualité",35000,"Oui",35000,"250 à  4 999 salarié(e)s ","Industrie agroalimentaire ","Non","Boncolac"
NA,"","","","","","",NA,"",NA,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Oui","Airbus","Ingénieur matériaux et procédés soudage ",35000,"Oui",40000,"250 à  4 999 salarié(e)s ","Industrie automobile, aéronautique, navale, ferroviaire","Oui","P3 Group"
NA,"","","","","","",NA,"",NA,"De 20 à 49 salarié(e)s ","Construction, BTP","Non","Ete "
NA,"CDD (contrat de travail à durée déterminée)","En France","Auvergne-Rhône-Alpes","","","Ingénieur intégration filière ",29000,"Non",29000,"De 50 à 249 salarié(e)s ","Enseignement, recherche","Oui","Urca"
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Pays de la Loire","Non","","Ingénieure nutrition",30000,"Non",30000,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Hauts-de-France","Oui","Mowi ","Product manager & NPD Junior",34000,"Oui",34000,"","","",""
NA,"","","","","","",NA,"",NA,"","","",""
NA,"Contrat local","A l étranger","","Non","","Ingénieur R&D",28680,"Non",28680,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Bourgogne-Franche-Comté","Oui","EDF","Ingenieur R&D soudage",36000,"Oui",40000,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Normandie","Non","","Ingénieur Système Groupe Turbo-Alternateur",35000,"Oui",47000,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Provence-Alpes-Côte d Azur","Oui","Maten secomoc ","Ingénieur calculs ",NA,"Oui",NA,"","","",""
NA,"","","","","","",NA,"",NA,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Auvergne-Rhône-Alpes","Oui","House of HR","Ingenieur d affaires",28000,"Oui",28500,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Auvergne-Rhône-Alpes","Oui","Legris Industrie ","Leader d essais",34000,"Oui",36000,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Oui","Orano","Ingénieur Responsables tout Corps d État Tuyauterie Chaudronnerie ",39000,"Oui",45000,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Oui","DMS-Group","Ingénieur Système",33500,"Oui",35000,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Provence-Alpes-Côte d Azur","","","",30000,"Oui",30000,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Provence-Alpes-Côte d Azur","Non","","Ingénieur qualité soudage",36000,"Oui",39000,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Provence-Alpes-Côte d Azur","Oui","Eiffage","Ingenieur projets",36000,"Oui",42000,"","","",""
NA,"CDD (contrat de travail à durée déterminée)","En France","Occitanie","Oui","FOSELEV","Assistant chef de projet",32000,"Non",32000,"","","",""
NA,"","","","","","",NA,"",NA,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Auvergne-Rhône-Alpes","Non","","Ordonnanceur",37500,"Oui",40600,"","","",""
NA,"","","","","","",NA,"",NA," Moins de 10 salarié(e)s ","Industrie des technologies de l Information et de la Communication (TIC)","Non","Appi-Technology"
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Auvergne-Rhône-Alpes","Oui","ABYLSEN","Manager Coach",30000,"Oui",108000,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Oui","CGI","Ingénieur en technologie de l information",30400,"Oui",35000,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Non","","Ingénieur Développement",29493,"Oui",32500,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Provence-Alpes-Côte d Azur","Non","","Data-scientist & backend engineer",24636,"Oui",24636,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Non","","Ingénieur logiciel",34000,"Non",34000,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Auvergne-Rhône-Alpes","Non","","Ingénieur recherche et développement",36000,"Non",36000,"250 à  4 999 salarié(e)s ","Activités informatiques et services d information (TIC services)","Oui","Alteca"
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Oui","SMILE","Ingénieur études et développement",27440,"Oui",30000,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Île-de-France","Non","","Avant-vente",45000,"Oui",56000,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Oui","CGi GROUP","Ingénieur en systèmes d information ",32000,"Oui",36000,"","","",""
NA,"","","","","","",NA,"",NA,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Auvergne-Rhône-Alpes","Non","","ingénieur specialiste",36536,"Oui",40000,"","","",""
NA,"","","","","","",NA,"",NA,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Non","","Ingénieur en technologie de l information",28000,"Oui",29000,"","","",""
NA,"","","","","","",NA,"",NA,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","A l étranger","","Non","","Commercial data specialist",36000,"Oui",40320,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Oui","Ausy","Ingénieur logiciel ",32000,"Non",32000,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Oui","Altice","Software Engineer",40000,"Non",40000,"De 50 à 249 salarié(e)s ","Industrie des technologies de l Information et de la Communication (TIC)","Oui","TabMo"
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","A l étranger","","Oui","ABB","Ingénieur Soudeur IWE",64000,"Oui",70000,"","","",""
NA,"","","","","","",NA,"",NA,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Hauts-de-France","Non","","Ingénieur Soudeur",41000,"Non",41000,"250 à  4 999 salarié(e)s ","Activités juridiques, comptables, de gestion, d architecture, d ingénierie, de contrôle et d analyses techniques","Oui","EKIUM"
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Provence-Alpes-Côte d Azur","Oui","ENGIE","IWE",36000,"Non",36000,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Île-de-France","Oui","Alten","Assistant chef de projet",36000,"Oui",37000,"","","",""
NA,"","","","","","",NA,"",NA,"","","",""
NA,"CDD (contrat de travail à durée déterminée)","En France","Occitanie","","","",NA,"Non",NA,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Non","","Ingénieur dévelopement logiciel embarqué",29500,"Non",29500,"","","",""
NA,"","","","","","",NA,"",NA,"","Autres activités spécialisées, scientifiques et techniques","Non","Université de Valenciennes - LAMIH"
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Oui","","Developpeur Safety Software",31000,"Oui",31000,"","","",""
NA,"","","","","","",NA,"",NA,"De 20 à 49 salarié(e)s ","Recherche-développement scientifique","Non","Tellmeplus"
NA,"","","","","","",NA,"",NA,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Île-de-France","Non","","Ingenieur conception logiciel",37200,"Oui",42000,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Oui","Vinci","Ingénieur Projet",31560,"Oui",35000,"","","",""
NA,"","A l étranger","","Non","","CEO",30000,"Non",30000,"","","",""
NA,"","","","","","",NA,"",NA,"","Enseignement, recherche","Non","Acadomia"
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Non","","Ingénieur Projet",30000,"Oui",33000,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Bretagne","Non","","Ingénieur étude et développement logiciel",31000,"Non",31000,"250 à  4 999 salarié(e)s ","Recherche-développement scientifique","Oui","IFREMER"
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Île-de-France","Non","","Développeur web",38000,"Non",38000,"","","",""
NA,"","","","","","",NA,"",NA,"","","",""
NA,"","","","","","",NA,"",NA,"","","",""
NA,"Contrat local","A l étranger","","Non","","Coordonnateur adjoint du programme SMART SENEGAL",NA,"",NA,"5 000 salarié(e)s ou plus","Industrie des technologies de l Information et de la Communication (TIC)","Oui","AUBAY"
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Île-de-France","Oui","vivescia","Chef de produit",29280,"Oui",31720,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","A l étranger","","Non","","Software engineer",57915,"Oui",63180,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Île-de-France","Oui","","Avant vente",36000,"Oui",40000,"","","",""
NA,"CDD (contrat de travail à durée déterminée)","En France","Occitanie","Non","","Ingénieur électronique et système embarqué",28000,"Non",28000,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Île-de-France","Non","","Consultant Ingénieur Junior",34500,"Non",34500,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Non","","Ingénieur Système Embarqué",NA,"Non",NA,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Auvergne-Rhône-Alpes","Oui","Stäubli International AG","Ingenieur logiciel",NA,"",NA,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Oui","Ratp Smart Systems (anciennement ixxi)","Développeur logiciel embarqué",35000,"Oui",35000,"","","",""
NA,"CDD (contrat de travail à durée déterminée)","En France","Nouvelle-Aquitaine","Oui","Betem ingénierie ","Ingénieur structure génie civil",30000,"Non",30000,"","","",""
NA,"","","","","","",NA,"",NA,"","","",""
NA,"","","","","","",NA,"",NA,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Provence-Alpes-Côte d Azur","Non","","",31000,"Non",31000,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Non","","Dév full stack angular 6 et Spring boot",30120,"Oui",33600,"","","",""
NA,"","","","","","",NA,"",NA,"","","",""
NA,"CDD (contrat de travail à durée déterminée)","En France","Auvergne-Rhône-Alpes","Oui","ST","Process Engineer",36500,"Oui",36500,"De 50 à 249 salarié(e)s ","Agriculture, sylviculture et pêche ","Non","Vergers du Sud"
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Oui","","Responsables Usines",33000,"Oui",35750,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Provence-Alpes-Côte d Azur","Oui","CNIM","Ingénieur developpement ",33000,"Oui",36000,"","Sociétés de conseil, bureaux d études","Oui","MCA Ingénierie"
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Auvergne-Rhône-Alpes","Non","","Ingénieur études",32000,"Oui",32000,"","","",""
NA,"","","","","","",NA,"",NA,"","","",""
NA,"CDD (contrat de travail à durée déterminée)","En France","Occitanie","Non","","Chargé d opération ",26400,"Non",26400,"","","",""
NA,"","","","","","",NA,"",NA,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Hauts-de-France","Non","","Ingénieur composant",31200,"Oui",39000,"","","",""
NA,"Mission d intérim","En France","Occitanie","Oui","AIRBUS","Ingénieur développement",33000,"Oui",35000,"","","",""
NA,"","","","","","",NA,"",NA,"De 10 à 19 salarié(e)s ","Activités informatiques et services d information (TIC services)","Non","WE ARE LEARNING"
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Pays de la Loire","Non","","Business Analyst",35500,"Oui",39000,"5 000 salarié(e)s ou plus","Activités informatiques et services d information (TIC services)","Oui","CGI"
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Non","","ingénieur test logiciel",29000,"Oui",32000,"De 50 à 249 salarié(e)s ","Activités informatiques et services d information (TIC services)","Oui","PCSoft"
NA,"","","","","","",NA,"",NA,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Provence-Alpes-Côte d Azur","Non","","Responsable qualité soudage",NA,"Oui",NA,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Oui","CGI","",NA,"Oui",NA,"","","",""
NA,"","","","","","",NA,"",NA,"","","",""
NA,"","","","","","",NA,"",NA,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Auvergne-Rhône-Alpes","Non","","Coordinatrice qse",NA,"Oui",NA,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Île-de-France","Oui","Bertrandt SAS","Concepteur MBD ADAS",38000,"Non",38000,"","","",""
NA,"CDD (contrat de travail à durée déterminée)","En France","Occitanie","Non","","Ingénieur d etude En sciences des matériaux ",21000,"Non",21000,"250 à  4 999 salarié(e)s ","Construction, BTP","Oui","Siniat"
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Oui","Alten","Ingénieur d application",32000,"Oui",32000," Moins de 10 salarié(e)s ","Fabrication de textiles, industries de l habillement, industrie du cuir et de la chaussure","Oui","Enko"
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Auvergne-Rhône-Alpes","Non","","Ingénieur d Etudes ",33600,"Non",33600,"250 à  4 999 salarié(e)s ","Construction, BTP","Non","Société du Canal de Provence "
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Oui","Liebherr ","Concepteur Logiciel",36000,"Non",36000,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Île-de-France","Non","","Ingenieur études",34000,"Non",34000,"5 000 salarié(e)s ou plus","Recherche-développement scientifique","Oui","Alten"
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Pays de la Loire","Non","","",30000,"Oui",32000,"","","",""
NA,"","","","","","",NA,"",NA,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Centre-Val de Loire","Non","","Ingénieur calculs",28200,"Non",28200,"De 50 à 249 salarié(e)s ","Agriculture, sylviculture et pêche ","Oui","LGT Léonard de Vinci"
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Oui","CGI","Analyste",31163,"Oui",32584,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Pays de la Loire","Oui","Lactalis ","Ingénieur production ",32760,"Oui",32760,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Île-de-France","Oui","OPTOPRIM ","Ingénieur R&D procédés laser",33600,"Non",33600,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Provence-Alpes-Côte d Azur","Oui","Expleo group","Ingénieur matériaux et ACV",32000,"Oui",35000,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Non","","",NA,"",NA,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Non","","Directeur général",50000,"Oui",60000,"","","",""
NA,"","","","","","",NA,"",NA,"","","",""
NA,"","","","","","",NA,"",NA,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Non","","Senior Software Engineer",55000,"Oui",80000,"","","",""
NA,"","","","","","",NA,"",NA,"","","",""
NA,"","","","","","",NA,"",NA,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Île-de-France","Oui","","",34000,"Non",34000," Moins de 10 salarié(e)s ","Industrie agroalimentaire ","Non",""
NA,"","","","","","",NA,"",NA,"De 50 à 249 salarié(e)s ","Arts, spectacles et activités récréatives","Non","Decoflamme"
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Provence-Alpes-Côte d Azur","Non","","Consultante logistique",31200,"Oui",33800,"250 à  4 999 salarié(e)s ","Industrie agroalimentaire ","Non","EASYDIS"
NA,"","","","","","",NA,"",NA,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Provence-Alpes-Côte d Azur","Non","","Natural Extracts Developper",40000,"Oui",40000,"","","",""
NA,"CDD (contrat de travail à durée déterminée)","En France","Île-de-France","Oui","Casino","Chargée de missions qualité export  ",34000,"Non",34000,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Île-de-France","Oui","alliance renault nissan","Leader ingénierie ",NA,"",NA,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Oui","Expleo ","Ingénieur Matériaux et procédés",33000,"Non",33000,"","","",""
NA,"CDD (contrat de travail à durée déterminée)","En France","Normandie","Oui","Aptar group","Technicien qualification validation",28600,"Non",28600,"250 à  4 999 salarié(e)s ","Industrie pharmaceutique","Non","Aptar pharma"
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Auvergne-Rhône-Alpes","Non","","ingénieur de recherche et développement",26400,"Oui",30000,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Non","","Ingénieur Qualité",32000,"Oui",32000,"","","",""
NA,"CDD (contrat de travail à durée déterminée)","En France","Occitanie","Oui","IDEXX","CHARGEE DE PROJET R&D",NA,"Oui",NA,"5 000 salarié(e)s ou plus","Industrie pharmaceutique","Oui","IDEXX MONTPELLIER"
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Île-de-France","Non","","Ingénieur développement C#",42000,"Non",42000,"","","",""
NA,"","En France","Occitanie","Non","","CEO",15000,"Non",15000,"","","",""
NA,"","","","","","",NA,"",NA,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Provence-Alpes-Côte d Azur","Oui","TPF","Ingénieur d affaire infrastructures",35000,"Non",35000,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Non","","Ingénieur consultant",33000,"Oui",35000,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","","","Consultant",30600,"Oui",34400,"","","",""
NA,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Oui","CA HOLDING ","Approvisionneur ",23500,"Oui",25500," Moins de 10 salarié(e)s ","Industrie agroalimentaire ","Non","CLARELIA "
