"identifiant","remuneration_annuelle_brute","sexe","date_diplome","filiere","nationalite_francaise","nationalite","prime","remuneration_prime","remuneration_annuelle_brute_hors_prime_premier_emploi","prime_premier_emploi","remuneration_annuelle_brute_avec_prime_premier_emploi"
"1798527184624230",33600,"Homme",2022,"MSI-app","Oui","","Oui",38000,NA,"",NA
"1768549961864030",37000,"Homme",2021,"MI","Oui","","Oui",39000,NA,"",NA
"1793990336257040",38000,"Femme",2022,"IG","Oui","","Oui",40000,NA,"",NA
"1782921296514620",41500,"Homme",2022,"IG","Oui","","Oui",51000,NA,"",NA
"1794187694448030",36000,"Femme",2022,"IG","Non","Chinoise","Oui",38600,NA,"",NA
"1857534002669320",57000,"Homme",2022,"IG","Oui","","Oui",57500,NA,"",NA
"1775637573994100",25260,"Femme",2022,"GBA","Oui","","Non",25260,NA,"",NA
"1883101110887870",44000,"Femme",2022,"IG","Oui","","Non",44000,NA,"",NA
"1798760184720750",39700,"Homme",2021,"MSI-app","Oui","","Oui",42000,NA,"",NA
"1783164954392950",34000,"Homme",2022,"MEA","Oui","","Non",34000,NA,"",NA
"1766818797606270",42000,"Femme",2022,"MEA","Oui","","Oui",42000,NA,"",NA
"1783230241827550",39780,"Femme",2022,"SE-app","Oui","","Oui",42000,NA,"",NA
"1798582769741700",37000,"Homme",2022,"MAT","Oui","","Non",37000,NA,"",NA
"1767473229039570",27800,"Homme",2022,"STE","Oui","","Non",27800,NA,"",NA
"1798974242610910",24600,"Femme",2022,"STE","Oui","","Non",24600,NA,"",NA
"1789583108696460",60000,"Homme",2020,"MSI-app","Oui","","Non",60000,NA,"",NA
"1782327119664150",33000,"Homme",2021,"MAT","Oui","","Oui",36000,NA,"",NA
"1789078796127690",35200,"Homme",2022,"GBA","Oui","","Oui",37200,NA,"",NA
"1782457857062600",42500,"Homme",2022,"MEA","Oui","","Oui",42500,NA,"",NA
"1783547418022120",34000,"Homme",2022,"MEA","Oui","","Non",34000,NA,"",NA
"1789078909530500",25056,"Femme",2022,"STE","Oui","","Oui",27590,NA,"",NA
"1782520328285230",41520,"Homme",2022,"MEA","Oui","","Oui",48000,NA,"",NA
"1788692348335790",36000,"Homme",2022,"IG","Oui","","Oui",38000,NA,"",NA
"1776106881976020",41000,"Homme",2020,"EGC-app","Oui","","Oui",43000,NA,"",NA
"1894058211405080",32083,"Femme",2021,"IG","Oui","","Oui",35000,NA,"",NA
"1883551382573460",33000,"Homme",2021,"STE","Oui","","Oui",35500,NA,"",NA
"1782332272616430",40000,"Homme",2022,"EGC-app","Oui","","Oui",50000,NA,"",NA
"1793786868531130",40000,"Homme",2022,"GBA","","","Oui",42500,NA,"",NA
