Genre,identifiant,nationalite_francaise,nationalite,date_diplome,type_formation,filiere,situation_actuelle,en_recherche_emploi,temps_recherche_emploi,refus_emploi,difficultes_recherche,alternance,post_actuel,autre_activite,statut_emploi,nature_contrat,duree_CDD,localisation_emploi,region_emploi,pays_localisation,mois_emploi_occupe,jours_télétravail,nom_entreprise,Nombre de salarié(e)s de votre entreprise(cellei qui vous rémunère),entreprise_groupe,groupe,departement_emploi,intitule_emploi,cadre,secteur_activite_entreprise,domaine_general_entreprise,langage_programmation,emploi_lie_energie_renouvelable,salaire_annuel_brut,prime,salaire_annuel_brut_prime,responsabilite_hierarchie,responsabilite_budget,responsabilite_equipe,responsabilite ,international,langue_français,langue_anglais,temps_trouve_emploi,moyen_trouver_emploi,critere_choix_emploi,emploi_niveau_qualification,emploi_formation,satisfaction_emploi,condition_travail,relation_collegues,niveau_remuneration,niveau_autonomie,jugement_localisation,recherche_nouvel_emploi,raisons_recherche_emploi,Unnamed: 133,situation_sortie_polytech,temps_trouve_premier_emploi,post_premier_emploi,nature_contrat,condition_fin_premier_contrat,intitule_premier_emploi,location_premier_emploi,region_premier_emploi,nom_entreprise_premier_emploi,taille_entreprise_premier_emploi,premiere_entreprise_groupe,premier_groupe,secteur_premiere_entreprise,mois_premiere_entreprise,status_cadre_premier_emploi,temps_partiel_premier_emploi,moyen_trouver_premier_emploi,critere_choix_premier_emploi,remuneration_annuelle_brute_premier_emploi,prime_premier_emploi,remuneration_prime_premier_emploi,satisfaction_premier_emploi,impact_covid,satisfaction_formation,ig_avantage_double_competence,ig_membre_reseau,recommandation_polytech
Femme,2083067306157760,Oui,,2020,Sous contrat de professionalisation,Mécanique et Interactions (MI),En recherche emploi,Oui,6.0,Non,"Manque d'expérience professionnelle|Peu d'offres d'emploi|""Crise sanitaire""",,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Report de signature de contrat / Report d'embauche|Annulation d'embauche|Moins de propositions de recrutement|Moins d'offres d'emploi|Prétention salariale revue,4.0,,,Oui
Homme,1767472953470000,Oui,,2019,Formation initiale (hors apprentissage),Sciences et Technologies de l'Eau (STE),En activité professionnelle,,,,,,,Oui,Salarié(e) secteur privé (y compris structure associative),CDD (contrat de travail à durée déterminée),1.0,En France,Occitanie,,1.0,0.0,SAUR,5 000 salarié(e)s ou plus,Non,,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Ingénieur hydraulique ,Oui,Recherche-développement scientifique,,,,32000.0,Oui,38000.0,NON,NON,NON,OUI,Non,Quotidiennement,Très rarement,,Réseaux des anciens /association des anciens (polytech Connect),L'absence d'alternative,oui,oui,3.0,4.0,4.0,4.0,5.0,1.0,Oui,Fin du cdd dans 1 mois,Plutôt d'accord,activité professionnelle,De 2 à moins de 3 mois,Salarié(e) du secteur privé (y compris structure associative),CDD (contrat de travail à durée déterminée),Fin de contrat ou fin de mission,Chargé d'études ,En France,Provence-Alpes-Côte d'Azur,Société du canal de provence,250 à  4 999 salarié(e)s ,Non,,Recherche-développement scientifique,3.0,Non,Non,Stage de fin d'études,Le lieu géographique ,33000.0,Non,33000.0,2.0,Mobilité géographique compliquée|Moins de propositions de recrutement|Moins d'offres d'emploi|Changement de projet professionnel,2.0,,,Oui
Homme,1794190819221150,Oui,,2019,Formation initiale (hors apprentissage),Sciences et Technologies de l'Eau (STE),Sans activité volontairement,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thèse,,,,,,,,,,,,,,,,,,,,,,Perte d'emploi / Cessation d'activité,4.0,,,Oui
Femme,1783049864940510,Oui,,2020,Formation initiale (hors apprentissage),Génie Biologique et Agroalimentaires (GBA),En poursuite d'études (hors thèse),,,,,non,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Moins de propositions de recrutement|Moins d'offres d'emploi,5.0,,,Oui
Homme,1875713102128940,Oui,,2020,Formation initiale (hors apprentissage),Microélectronique Et Automatique (MEA),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDD (contrat de travail à durée déterminée),12.0,En France,Occitanie,,3.0,0.0,EREMS ,De 50 à 249 salarié(e)s ,Non,,Département Numérique ,Responsable de design numérique ,Oui,Autres secteurs ,,"VHDL|""Perl""",,31992.0,Non,31992.0,NON,NON,NON,NON,Non,Quotidiennement,Quotidiennement,De 1 à moins de 2 mois,Site Internet spécialisé dans l'emploi (dont APEC),L'adéquation avec un projet professionnel ,oui,non,4.0,4.0,4.0,3.0,4.0,4.0,Non,,Plutôt d'accord,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,Non
Femme,1867911690863990,Oui,,2019,Formation initiale (hors apprentissage),Informatique et Gestion (IG),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,15.0,5.0,Conserto,De 50 à 249 salarié(e)s ,Non,,Etudes et développement en systèmes d'information ,Ingénieur d'étude et de développement,Oui,Activités informatiques et services d'information (TIC services),,,,33000.0,Non,33000.0,NON,NON,NON,OUI,Non,Quotidiennement,,Moins d'un mois,Site Internet spécialisé dans l'emploi (dont APEC),L'adéquation avec un projet professionnel ,oui,oui,4.0,5.0,5.0,4.0,4.0,5.0,Non,,Tout à fait d'accord,,,,,,,,,,,,,,,,,,,,,,,,5.0,OUI,NON,Oui
Homme,1788520668242630,Oui,,2020,Formation initiale (hors apprentissage),Microélectronique Et Automatique (MEA),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,5.0,2.0,Oceasoft,De 50 à 249 salarié(e)s ,Oui,Dickson Data,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Développeur logiciel embarqué ,Oui,Autres secteurs ,,"C|C++|""Python""",,30000.0,Non,30000.0,NON,NON,NON,NON,Non,Quotidiennement,Souvent (plusieurs heures par semaine),Emploi trouvé avant l'obtention de votre diplôme,"Réseau social professionnel (viadéo, Linkedln)",Le contenu de la mission / poste proposé,oui,oui,5.0,5.0,5.0,4.0,3.0,5.0,Non,,Plutôt en désaccord,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail,4.0,,,Oui
Homme,1767472951669570,Oui,,2020,Sous contrat d'apprentissage,Eau et Génie Civil (EGC - apprentissage),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Nouvelle-Aquitaine,,0.0,0.0,Aptiskills,De 20 à 49 salarié(e)s ,Non,,Production - Exploitation ,Ingénieur travaux,Oui,"Construction, BTP",,,,34000.0,Oui,37000.0,OUI,OUI,OUI,OUI,Non,Quotidiennement,Très rarement,,Site Internet spécialisé dans l'emploi (dont APEC),Les compétences,oui,oui,4.0,4.0,5.0,4.0,5.0,3.0,Oui,Partir à l'étranger ou gagner d'autres compétences ,Tout à fait d'accord,,,,,,,,,,,,,,,,,,,,,,,Missions modifiées|Chômage partiel / Réduction d'activité|Mobilité géographique compliquée|Moins d'offres d'emploi,5.0,,,Oui
Homme,1783551851748090,Oui,,2019,Formation initiale (hors apprentissage),Sciences et Technologies de l'Eau (STE),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,14.0,0.0,Acadomia Perpignan,De 10 à 19 salarié(e)s ,Oui,Acadomia,Enseignement - Formation ,Professeur particulier de Mathématiques à domicile,Non,"Enseignement, recherche",,,,,Oui,,NON,NON,NON,NON,Non,Quotidiennement,Très rarement,,Candidature spontannée,L'adéquation avec un projet professionnel ,oui,non,4.0,5.0,5.0,3.0,5.0,4.0,Non,,Plutôt d'accord,,,,,,,,,,,,,,,,,,,,,,,"Perte d'emploi / Cessation d'activité|""Perte de salaires""",5.0,,,Oui
Homme,1775426942739380,Oui,,2019,Formation initiale (hors apprentissage),Informatique et Gestion (IG),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,A l'étranger,,Royaume-Uni,18.0,0.0,VAUBAN TECHNOLOGIES LIMITED,De 10 à 19 salarié(e)s ,Non,,Direction générale ,CTO,Oui,Activités financières et d'assurance,,,,52000.0,Non,52000.0,OUI,OUI,OUI,OUI,Oui,Quotidiennement,Quotidiennement,Emploi trouvé avant l'obtention de votre diplôme,"Réseau social professionnel (viadéo, Linkedln)",Le contenu de la mission / poste proposé,oui,oui,5.0,5.0,5.0,5.0,5.0,5.0,Non,,Plutôt en désaccord,,,,,,,,,,,,,,,,,,,,,,,,5.0,OUI,NON,Oui
