Genre,identifiant,nationalite_francaise,nationalite,date_diplome,type_formation,filiere,situation_actuelle,en_recherche_emploi,temps_recherche_emploi,refus_emploi,difficultes_recherche,alternance,post_actuel,autre_activite,statut_emploi,nature_contrat,duree_CDD,localisation_emploi,region_emploi,pays_localisation,mois_emploi_occupe,jours_télétravail,nom_entreprise,Nombre de salarié(e)s de votre entreprise(cellei qui vous rémunère),entreprise_groupe,groupe,departement_emploi,intitule_emploi,cadre,secteur_activite_entreprise,domaine_general_entreprise,langage_programmation,emploi_lie_energie_renouvelable,salaire_annuel_brut,prime,salaire_annuel_brut_prime,responsabilite_hierarchie,responsabilite_budget,responsabilite_equipe,responsabilite ,international,langue_français,langue_anglais,temps_trouve_emploi,moyen_trouver_emploi,critere_choix_emploi,emploi_niveau_qualification,emploi_formation,satisfaction_emploi,condition_travail,relation_collegues,niveau_remuneration,niveau_autonomie,jugement_localisation,recherche_nouvel_emploi,raisons_recherche_emploi,Unnamed: 133,situation_sortie_polytech,temps_trouve_premier_emploi,post_premier_emploi,nature_contrat,condition_fin_premier_contrat,intitule_premier_emploi,location_premier_emploi,region_premier_emploi,nom_entreprise_premier_emploi,taille_entreprise_premier_emploi,premiere_entreprise_groupe,premier_groupe,secteur_premiere_entreprise,mois_premiere_entreprise,status_cadre_premier_emploi,temps_partiel_premier_emploi,moyen_trouver_premier_emploi,critere_choix_premier_emploi,remuneration_annuelle_brute_premier_emploi,prime_premier_emploi,remuneration_prime_premier_emploi,satisfaction_premier_emploi,impact_covid,satisfaction_formation,ig_avantage_double_competence,ig_membre_reseau,recommandation_polytech
Homme,1789471850513730,Oui,,2018,Sous contrat de professionalisation,Matériaux (MAT),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Provence-Alpes-Côte d'Azur,,18.0,0.0,Som Industrie (groupe ortec),250 à  4 999 salarié(e)s ,Oui,Ortec ,Assistance technique,Ingénieur projet,Oui,"Sociétés de conseil ou d'ingénieurie, bureaux d'études indépendants",Divers,,,35000.0,Oui,38000.0,NON,NON,NON,OUI,Oui,Quotidiennement,Souvent (plusieurs heures par semaine),,Démarché(e) par un 'chasseur de têtes',L'adéquation entre mon projet pro et mes projets perso,oui,oui,4.0,5.0,5.0,4.0,5.0,3.0,Non,,Plutôt d'accord,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Chômage partiel / Réduction d'activité,4.0,,,Oui
Homme,1788530340467290,Oui,,2019,Formation initiale (hors apprentissage),Informatique et Gestion (IG),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,17.0,4.0,Swile,250 à  4 999 salarié(e)s ,Non,,"Innovation, Propriété industrielle, brevets, transfert de technologie",Innovation manager,Oui,Autres secteurs ,,,,38000.0,Oui,44000.0,OUI,OUI,OUI,OUI,Oui,Quotidiennement,Souvent (plusieurs heures par semaine),,Démarché(e) par un 'chasseur de têtes',Le contenu de la mission / poste proposé,oui,oui,4.0,5.0,5.0,5.0,4.0,5.0,Non,,Plutôt d'accord,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail,4.0,OUI,NON,Oui
Homme,1783100980486340,Oui,,2020,Formation initiale (hors apprentissage),Génie Biologique et Agroalimentaires (GBA),En recherche emploi,Oui,6.0,Non,Mobilité géographique difficile|Peu d'offres d'emploi,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,Oui
Femme,1794332471066140,Oui,,2019,Formation initiale (hors apprentissage),Sciences et Technologies de l'Eau (STE),En activité professionnelle,,,,,,,Oui,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Provence-Alpes-Côte d'Azur,,8.0,0.0,Cerretti,De 20 à 49 salarié(e)s ,Oui,Cerretti,Etudes - Conseil et expertise (autre qu'informatique),Chargée d'affaires VRD,Oui,"Sociétés de conseil ou d'ingénieurie, bureaux d'études indépendants",,,,32500.0,Oui,34000.0,OUI,NON,NON,OUI,Non,Quotidiennement,Jamais,,Site Internet spécialisé dans l'emploi (dont APEC),Le contenu de la mission / poste proposé,oui,oui,5.0,4.0,5.0,4.0,4.0,4.0,Non,,Pas du tout d'accord,activité professionnelle,Emploi trouvé avant l'obtention de votre diplôme,Salarié(e) du secteur privé (y compris structure associative),CDD (contrat de travail à durée déterminée),Fin de contrat ou fin de mission,Chargée d'études hydrauliques,En France,Occitanie,Gaxieu Ingénierie,De 50 à 249 salarié(e)s ,Oui,Gaxieu Ingénierie,"Sociétés de conseil, bureaux d'études",8.0,Oui,Non,Réseaux des anciens / association des anciens élèves (Polytech Connect),Le lieu géographique ,28000.0,Non,28000.0,1.0,Recours au télétravail|Annulation d'embauche|Moins d'offres d'emploi,4.0,,,Oui
Homme,1888462074344500,Oui,,2019,Formation initiale (hors apprentissage),Matériaux (MAT),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Nouvelle-Aquitaine,,15.0,4.0,Alten Sud-Ouest,250 à  4 999 salarié(e)s ,Non,,"Réseaux, intranet, internet, télécommunications ",Ingenieur d'application,Oui,"Sociétés de conseil ou d'ingénieurie, bureaux d'études indépendants",Divers,,,28200.0,Non,28200.0,NON,OUI,NON,OUI,Non,Quotidiennement,Souvent (plusieurs heures par semaine),De 3 à moins de 4 mois,Site Internet spécialisé dans l'emploi (dont APEC),L'absence d'alternative,oui,non,3.0,3.0,5.0,2.0,5.0,3.0,Non,,Plutôt d'accord,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,Oui
Homme,1768989176927280,Oui,,2020,Formation initiale (hors apprentissage),Matériaux (MAT),En recherche emploi,Oui,6.0,Non,Manque d'expérience professionnelle|Peu d'offres d'emploi,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moins de propositions de recrutement|Moins d'offres d'emploi,4.0,,,Oui
Femme,1794332565579100,Oui,,2018,Formation initiale (hors apprentissage),Génie Biologique et Agroalimentaires (GBA),En activité professionnelle,,,,,,,Oui,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,4.0,0.0,ADVINI,250 à  4 999 salarié(e)s ,Non,,"Qualité, sécurité, sûreté de fonctionnement ",Responsable Qualité vins & Services,Oui,Industrie agroalimentaire ,,,,30000.0,Oui,33000.0,NON,NON,OUI,NON,Oui,Quotidiennement,Quotidiennement,,stage de fin d'études,Le secteur d'activité de l'entreprise,non,oui,4.0,5.0,5.0,3.0,3.0,5.0,Non,,Plutôt d'accord,activité professionnelle,Emploi trouvé avant l'obtention de votre diplôme,Salarié(e) du secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),Opportunité en interne dans la même entreprise ,Chargée de qualité,En France,Occitanie,Maison Jeanjean,250 à  4 999 salarié(e)s ,Oui,ADVINI,Industrie agroalimentaire ,27.0,Non,Non,Stage de fin d'études,L'adéquation avec un projet professionnel ,25200.0,Oui,28000.0,1.0,,4.0,,,Oui
Femme,1867188646284860,Oui,,2019,Sous contrat de professionalisation,Sciences et Technologies de l'Eau (STE),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,17.0,0.0,Cabinet Merlin,250 à  4 999 salarié(e)s ,Oui,Groupe Merlin,Etudes - Conseil et expertise (autre qu'informatique),Ingénieur chargé d'études infrastructures,Oui,"Construction, BTP",,,,28000.0,Oui,30000.0,NON,OUI,NON,OUI,Non,Quotidiennement,Jamais,,Site Internet spécialisé dans l'emploi (dont APEC),La notoriété de l'entreprise ,oui,oui,4.0,4.0,5.0,3.0,4.0,4.0,Non,,Plutôt d'accord,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,Oui
Femme,1776167061760460,Oui,,2020,Sous contrat d'apprentissage,Systèmes Embarqués (SE - apprentissage),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Provence-Alpes-Côte d'Azur,,1.0,0.0,Arcelor Mittal,5 000 salarié(e)s ou plus,Oui,Arcelor Mittal,"Réseaux, intranet, internet, télécommunications ",Administrateur réseau,Oui,Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements,,,,36000.0,Non,36000.0,NON,OUI,NON,OUI,Non,Quotidiennement,Rarement (quelques fois par mois),De 4 à moins de 5 mois,Sites Internet d'entreprises,L'adéquation avec un projet professionnel ,oui,non,4.0,,,,,,Non,,Tout à fait d'accord,,,,,,,,,,,,,,,,,,,,,,,Annulation d'embauche|Moins de propositions de recrutement|Moins d'offres d'emploi|Prétention salariale revue,3.0,,,Oui
Femme,1882855136325960,Oui,,2018,Formation initiale (hors apprentissage),Génie Biologique et Agroalimentaires (GBA),En activité professionnelle,,,,,,,Oui,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Île-de-France,,15.0,5.0,Deloitte,250 à  4 999 salarié(e)s ,Oui,Deloitte,Conseil Fiscal,Consultante en financement de l'innovation,Oui,"Activités juridiques, comptables, de gestion, d'architecture, d'ingénierie, de contrôle et d'analyses techniques",,,,40615.0,Oui,46000.0,NON,NON,NON,NON,Non,Quotidiennement,Souvent (plusieurs heures par semaine),,Apprentissage (embauche dans l'entreprise d'accueil du contrat),La notoriété de l'entreprise ,oui,oui,4.0,5.0,5.0,5.0,3.0,3.0,Non,,Tout à fait d'accord,Poursuite d'études (hors thèse),,,,,,,,,,,,,,,,,,,,,,,3.0,,,Oui
Femme,1782338016526480,Oui,,2018,Formation initiale (hors apprentissage),Sciences et Technologies de l'Eau (STE),"En volontariat (VIE, VIA, Volontariat civil..)",,,,,,Co-gérante,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Volontariat (VIE, VIA..)",,,,,,,,,,,,,,,,,,,,,,Plus de demande de paniers de légumes,4.0,,,Oui
Femme,1794332416683640,Oui,,2020,Formation initiale (hors apprentissage),Matériaux (MAT),En poursuite d'études (hors thèse),,,,,non,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Difficulté pour le stage de fin d'études,5.0,,,Oui
Femme,1794282911392610,Oui,,2019,Formation initiale (hors apprentissage),Génie Biologique et Agroalimentaires (GBA),En recherche emploi,Oui,18.0,Oui,Mobilité géographique difficile,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moins d'offres d'emploi,5.0,,,Oui
Homme,1882921164844020,Oui,,2020,Sous contrat d'apprentissage,Eau et Génie Civil (EGC - apprentissage),"En volontariat (VIE, VIA, Volontariat civil..)",,,,,,Ingénieur projet assainissement,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,Oui
Homme,1789312834937740,Oui,,2018,Formation initiale (hors apprentissage),Mécanique et Interactions (MI),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Provence-Alpes-Côte d'Azur,,14.0,0.0,Institut de Soudure Industrie,250 à  4 999 salarié(e)s ,Oui,Groupe Institut de Soudure ,Etudes - Conseil et expertise (autre qu'informatique),Chargé d'affaires Expertise Conseils Conception Calcul,Oui,Industrie chimique,,,,35000.0,Non,35000.0,NON,NON,OUI,OUI,Oui,Quotidiennement,Très rarement,De 2 à moins de 3 mois,Relations personnelles,Le contenu de la mission / poste proposé,oui,non,4.0,4.0,5.0,3.0,4.0,5.0,Non,,Plutôt d'accord,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Missions modifiées,5.0,,,Oui
Homme,1783106098956790,Oui,,2020,Formation initiale (hors apprentissage),Sciences et Technologies de l'Eau (STE),En poursuite d'études (hors thèse),,,,,non,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Formation annulée ou reportée,4.0,,,Oui
Femme,1894332193454220,Oui,,2020,Formation initiale (hors apprentissage),Matériaux (MAT),En poursuite d'études (hors thèse),,,,,non,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Annulation d'embauche|Moins d'offres d'emploi,4.0,,,Oui
Homme,1882874459931870,Oui,,2019,Sous contrat d'apprentissage,Systèmes Embarqués (SE - apprentissage),En recherche emploi,Oui,12.0,Oui,Mobilité géographique difficile,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mobilité géographique compliquée|Changement de projet professionnel,4.0,,,Oui
Homme,1789086607195970,Oui,,2018,Formation initiale (hors apprentissage),Matériaux (MAT),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,28.0,0.0,Elex,250 à  4 999 salarié(e)s ,Oui,Adenes ,Etudes - Conseil et expertise (autre qu'informatique),Expert bâtiment ,Oui,Activités financières et d'assurance,Divers,,,32400.0,Oui,33400.0,NON,NON,NON,NON,Non,Quotidiennement,Rarement (quelques fois par mois),,Site Internet spécialisé dans l'emploi (dont APEC),Le lieu géographique ,oui,non,4.0,4.0,4.0,3.0,3.0,5.0,Non,,Tout à fait d'accord,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,Oui
Homme,1788410676370390,Oui,,2019,Sous contrat de professionalisation,Matériaux (MAT),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,18.0,1.0,Specific Polymers,De 20 à 49 salarié(e)s ,Non,,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Ingénieur de recherche,Non,Industrie chimique,Elaboration et caractérisation des matériaux,,,25000.0,Oui,26500.0,NON,NON,NON,NON,Oui,Quotidiennement,Souvent (plusieurs heures par semaine),,Stage année césure / Contrat de professionnalisation,L'adéquation avec un projet professionnel ,oui,oui,5.0,5.0,5.0,3.0,5.0,5.0,Non,,Tout à fait d'accord,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,Oui
Homme,1767833322084940,Oui,,2019,Formation initiale (hors apprentissage),Informatique et Gestion (IG),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,A l'étranger,,Royaume-Uni,18.0,5.0,ShopStyle,De 50 à 249 salarié(e)s ,Oui,Rakuten,Exploitation / maintenance informatique ,Software Engineer,Oui,"Fabrication de textiles, industries de l'habillement, industrie du cuir et de la chaussure",,,,45620.0,Non,45620.0,NON,NON,NON,OUI,Oui,Rarement (quelques fois par mois),Quotidiennement,Emploi trouvé avant l'obtention de votre diplôme,Réseaux des anciens /association des anciens (polytech Connect),Les perspectives de carrière dans cette entreprise,oui,oui,5.0,5.0,5.0,3.0,4.0,4.0,Non,,Plutôt en désaccord,,,,,,,,,,,,,,,,,,,,,,,,3.0,NON,NON,Oui
Homme,1798760227709390,Oui,,2018,Formation initiale (hors apprentissage),Sciences et Technologies de l'Eau (STE),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Auvergne-Rhône-Alpes,,29.0,0.0,SCIRPE,De 10 à 19 salarié(e)s ,Non,,Etudes - Conseil et expertise (autre qu'informatique),Ingénieur d'études,Oui,"Construction, BTP",,,,36000.0,Oui,40000.0,OUI,NON,NON,OUI,Non,Quotidiennement,Très rarement,,Plateforme emploi de l'école (Poly+),L'adéquation avec un projet professionnel ,oui,oui,4.0,4.0,5.0,4.0,2.0,5.0,Non,,Plutôt d'accord,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Chômage partiel / Réduction d'activité,4.0,,,Oui
Femme,1782455254024230,Oui,,2019,Sous contrat d'apprentissage,Sciences et Technologies de l'Eau (STE),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,13.0,1.0,Veolia eau - Eau de Nimes Metropole,De 50 à 249 salarié(e)s ,Oui,Veolia ,Production - Exploitation ,Ingénieur chargé d'études et de projets réseaux ,Oui,"Production et distribution d'eau assainissement, gestion des déchets et dépollution",,,,31140.0,Oui,31140.0,OUI,NON,NON,OUI,Non,Quotidiennement,Jamais,,Stage année césure / Contrat de professionnalisation,Les perspectives de carrière dans cette entreprise,oui,oui,5.0,5.0,5.0,3.0,5.0,2.0,Non,,Plutôt d'accord,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,Oui
Homme,1782390418773570,Oui,,2020,Sous contrat d'apprentissage,Mécanique Structures Industrielles (MSI - apprentissage),En poursuite d'études (hors thèse),,,,,Oui,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,Oui
Femme,1783036913564170,Oui,,2020,Sous contrat de professionalisation,Génie Biologique et Agroalimentaires (GBA),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,7.0,5.0,Altran,5 000 salarié(e)s ou plus,Oui,Capgemini,Gestion des essais cliniques (pharmaceutique),Demand Planning Specialist,Oui,Industrie pharmaceutique,,,,34000.0,Oui,36000.0,NON,OUI,OUI,OUI,Oui,Quotidiennement,Quotidiennement,,Stage année césure / Contrat de professionnalisation,Le secteur d'activité de l'entreprise,oui,non,4.0,4.0,3.0,4.0,3.0,5.0,Non,,Plutôt d'accord,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail,4.0,,,Oui
Homme,1789471841659060,Oui,,2019,Formation initiale (hors apprentissage),Sciences et Technologies de l'Eau (STE),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDD (contrat de travail à durée déterminée),18.0,En France,Occitanie,,14.0,4.0,EGIS Eau,5 000 salarié(e)s ou plus,Oui,EGIS GROUP,Etudes - Conseil et expertise (autre qu'informatique),Ingénieur chargé d'études,Oui,"Production et distribution d'eau assainissement, gestion des déchets et dépollution",,,,29500.0,Oui,32000.0,OUI,NON,NON,OUI,Oui,Quotidiennement,Rarement (quelques fois par mois),,stage de fin d'études,La notoriété de l'entreprise ,oui,oui,4.0,3.0,5.0,4.0,5.0,4.0,Oui,Charge de travail beaucoup trop conséquente et pression constante. Volonté de me rediriger vers un emploi plus étroitement lié à l'écologie.,Plutôt d'accord,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail,4.0,,,Oui
Femme,1788409475662410,Oui,,2020,Sous contrat de professionalisation,Génie Biologique et Agroalimentaires (GBA),En recherche emploi,Oui,5.0,Non,Manque d'expérience professionnelle|Difficulté à mettre en valeur mes compétences|Peu d'offres d'emploi,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Annulation d'embauche|Moins de propositions de recrutement|Moins d'offres d'emploi,4.0,,,Oui
Homme,1906657240786900,Oui,,2018,Sous contrat d'apprentissage,Eau et Génie Civil (EGC - apprentissage),En activité professionnelle,,,,,,,Oui,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,A l'étranger,,Royaume-Uni,1.0,0.0,CNIM,250 à  4 999 salarié(e)s ,Oui,CNIM,Production - Exploitation ,Coordonnateur Génie Civil,Oui,"Énergie (Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné)",,,,36000.0,Oui,40000.0,NON,OUI,NON,OUI,Oui,Quotidiennement,Quotidiennement,,Apprentissage (embauche dans l'entreprise d'accueil du contrat),Le contenu de la mission / poste proposé,oui,oui,5.0,4.0,5.0,5.0,4.0,3.0,Non,,Tout à fait d'accord,"Volontariat (VIE, VIA..)",,,,,,,,,,,,,,,,,,,,,,Recours au télétravail,5.0,,,Oui
Femme,1782910866773040,Oui,,2019,Formation initiale (hors apprentissage),Génie Biologique et Agroalimentaires (GBA),En recherche emploi,Non,1.0,Non,Manque d'expérience professionnelle|Peu d'offres d'emploi,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poursuite d'études (hors thèse),,,,,,,,,,,,,,,,,,,,,,Moins d'offres d'emploi|Formation annulée ou reportée,4.0,,,Oui
Homme,1783103600401140,Oui,,2019,Formation initiale (hors apprentissage),Informatique et Gestion (IG),En création d'entreprise /reprise d'entreprise,,,,,,,Oui,,,,A l'étranger,,Pays-Bas,11.0,0.0,Lox Solution B.V., Moins de 10 salarié(e)s ,Non,,Informatique industrielle et technique ,CTO,Oui,Activités informatiques et services d'information (TIC services),,,,,Non,,OUI,OUI,OUI,OUI,Oui,Souvent (plusieurs heures par semaine),Quotidiennement,Moins d'un mois,J'ai créé / repris une entreprise,J'ai créé / repris mon entreprise,oui,oui,5.0,2.0,5.0,1.0,5.0,5.0,Non,,Plutôt d'accord,activité professionnelle,6 mois ou plus,Salarié(e) du secteur privé (y compris structure associative),CDD (contrat de travail à durée déterminée),"Démission, vous aviez une autre proposition de contrat",Lead Supply Chain Analyst,A l'étranger,,Helloprint,De 50 à 249 salarié(e)s ,Non,,"Autres industries (bois, imprimerie, fabrication, réparation et installation de machines et d'équipements, ...)",13.0,Non,Non,Stage de fin d'études,Les perspectives de croissance de l'entreprise,30000.0,Oui,33800.0,2.0,Recours au télétravail|Mobilité géographique compliquée|Changement de projet professionnel,5.0,OUI,NON,Oui
Homme,1988410468693410,Oui,,2020,Sous contrat d'apprentissage,Mécanique Structures Industrielles (MSI - apprentissage),En poursuite d'études (hors thèse),,,,,Oui,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,Oui
Femme,1776242025600950,Oui,,2019,Formation initiale (hors apprentissage),Mécanique et Interactions (MI),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,18.0,0.0,T.zic,De 20 à 49 salarié(e)s ,Non,,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Chef de projet R&D,Oui,"Production et distribution d'eau assainissement, gestion des déchets et dépollution",,,,31180.0,Non,31180.0,NON,NON,OUI,OUI,Non,Quotidiennement,Souvent (plusieurs heures par semaine),Emploi trouvé avant l'obtention de votre diplôme,stage de fin d'études,Les perspectives de carrière dans cette entreprise,oui,oui,3.0,3.0,5.0,4.0,5.0,5.0,Non,,Plutôt d'accord,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail,5.0,,,Oui
Homme,1794680911303500,Oui,,2018,Formation initiale (hors apprentissage),Mécanique et Interactions (MI),En activité professionnelle,,,,,,,Oui,Salarié(e) secteur privé (y compris structure associative),Intérim avant CDI car discussions en cours (+covid),,En France,Auvergne-Rhône-Alpes,,20.0,0.0,Sacmi (groupe POMA),De 50 à 249 salarié(e)s ,Oui,HTI,"Méthodes, contrôle de production, maintenance",Ingénieur Soudeur IWE,Oui,Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements,,,,42000.0,Oui,45600.0,NON,NON,NON,NON,Non,Quotidiennement,Rarement (quelques fois par mois),,Apprentissage (embauche dans l'entreprise d'accueil du contrat),L'adéquation avec un projet professionnel ,oui,oui,5.0,5.0,5.0,5.0,4.0,5.0,Non,,Plutôt d'accord,Poursuite d'études (hors thèse),,,,,,,,,,,,,,,,,,,,,,Report de signature de contrat / Report d'embauche|Prétention salariale revue,5.0,,,Oui
Homme,1782921165310560,Oui,,2018,Sous contrat d'apprentissage,Mécanique Structures Industrielles (MSI - apprentissage),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Auvergne-Rhône-Alpes,,6.0,3.0,ASSYSTEM,5 000 salarié(e)s ou plus,Oui,ASSYSTEM AEOS,"Maîtrise d'&oelig,uvre ",Ingénieur projets,Oui,"Énergie (Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné)",,,,36000.0,Oui,38000.0,NON,OUI,NON,OUI,Non,Quotidiennement,Rarement (quelques fois par mois),,Relations personnelles,La politique globale de relations humaines dans l'entreprise ,oui,oui,5.0,5.0,5.0,5.0,5.0,4.0,Non,,Tout à fait d'accord,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail,5.0,,,Oui
Homme,1782327117638330,Oui,,2020,Sous contrat d'apprentissage,Mécanique Structures Industrielles (MSI - apprentissage),En recherche emploi,Non,1.0,Non,Mon contrat se termine à la fin de ma période d'essai (1er avril 2021). Je suis en recherche d'emploi,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,activité professionnelle,Emploi trouvé avant l'obtention de votre diplôme,Salarié(e) du secteur public,CDI (contrat de travail à durée indéterminée),"Démission, sans autre proposition de contrat",ingénieur calcul,En France,Provence-Alpes-Côte d'Azur,groupe adf,250 à  4 999 salarié(e)s ,Oui,groupe adf,Industrie chimique,6.0,Oui,Non,Apprenti(e) : Embauché(e) par l'entreprise d'apprentissage,Autre,32000.0,Non,32000.0,1.0,,5.0,,,Oui
Femme,1888404796843130,Oui,,2019,Formation initiale (hors apprentissage),Sciences et Technologies de l'Eau (STE),En activité professionnelle,,,,,,,Non,Salarié(e) du secteur public,CDD (contrat de travail à durée déterminée),6.0,En France,Nouvelle-Aquitaine,,4.0,0.0,Communauté de Communes de Montesquieu,De 50 à 249 salarié(e)s ,Non,,Maîtrise d'ouvrage ,Technicien Hydraulique ,Non,"Administration d'État, Collectivités territoriales, Hospitalière",,,,,Non,,NON,NON,NON,OUI,Non,Quotidiennement,Très rarement,Moins d'un mois,Relations personnelles,L'absence d'alternative,non,oui,3.0,4.0,4.0,2.0,3.0,2.0,Oui,"Pour avoir une alternative si mon contrat n'est pas renouveler.
 Pour bénéficier d'un salaire plus intéressant et acquérir une expérience professionnelle plus riche. ",Plutôt d'accord,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Chômage partiel / Réduction d'activité,4.0,,,Oui
Homme,1782529474340130,Oui,,2020,Formation initiale (hors apprentissage),Matériaux (MAT),En recherche emploi,Oui,5.0,Non,Mobilité géographique difficile|Peu d'offres d'emploi,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moins de propositions de recrutement|Moins d'offres d'emploi,5.0,,,Oui
Femme,1788516768288100,Oui,,2020,Formation initiale (hors apprentissage),Sciences et Technologies de l'Eau (STE),En recherche emploi,Oui,3.0,Non,Manque d'expérience professionnelle|Peu d'offres d'emploi,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Missions modifiées|Chômage partiel / Réduction d'activité|Moins de propositions de recrutement|Moins d'offres d'emploi|Difficulté pour le stage de fin d'études,4.0,,,Oui
