Genre,identifiant,nationalite_francaise,nationalite,date_diplome,type_formation,Région de votre entreprise d'accueil,"Durant vos études, vous avez bénéficié d'aménagements de scolarité liés à un handicap, ou vous vous êtes déclaré en situation d'handicap auprès de votre établissement",filiere,situation_actuelle,"'Sans activité volontairement', merci de préciser :",Vous occupez plusieurs emplois?,en_recherche_emploi,refus_emploi,difficultes_recherche,Concours préparé(s),alternance,Durée du contrat de volontariat (en mois) ,Montant brut annuel HORS PRIME de l'allocation que vous percevez,Quel est le poste que vous occupez?,Votre courriel professionnel :,Quel est le nom de votre entreprise / projet?,Pays de localisation de la future entreprise?,autre_activite,statut_emploi,nature_contrat,duree_CDD,localisation_emploi,region_premier_emploi,pays_localisation,Vous travaillez,mois_emploi_occupe,Combien de jours par semaine êtes-vous en télétravail ? ,nom_entreprise,"Adresse ( numero, rue, avenue..)de l'entreprise",Code postal de l'entreprise,Commune de l'entreprise, Son site internet?,Nombre de salarié(e)s de votre entreprise(cellei qui vous rémunère),entreprise_groupe,groupe,departement_emploi,intitule_emploi,cadre,Quel est le secteur d'activité de votre entreprise (celle qui vous rémunère)?,domaine_general_entreprise,langage_programmation,emploi_lie_energie_renouvelable,salaire_annuel_brut,prime,salaire_annuel_brut_prime,responsabilite_hierarchie,responsabilite_budget,Responsabilités exercées [Vous avez la responsabilité fonctionnelle  d'une équipe ?],responsabilite ,international,langue_français,langue_anglais,temps_trouve_emploi,moyen_trouver_emploi,critere_choix_emploi,emploi_niveau_qualification,emploi_formation,satisfaction_emploi,condition_travail,relation_collegues,niveau_remuneration,niveau_autonomie,jugement_localisation,Les éléments suivants vous semblent-ils avoir joué un rôle dans votre recrutement? [Stage de 5ème année /Contrat de professionnalisation],recherche_nouvel_emploi,raisons_recherche_emploi,situation_sortie_polytech,Concours préparé(s)5,Pays ou territoire du volontariat6,Nom et coordonnées de l'entreprise partenaire7,Le laboratoire est-il localisé?8,Région de localisation du laboratoire9,Pays de localisation du laboratoire?10,Lequel ou lesquels?11,Le site web s'il existe?12,temps_trouve_premier_emploi,post_premier_emploi,Aviez-vous un statut de :,nature_contrat,condition_fin_premier_contrat,intitule_premier_emploi,location_premier_emploi,Dans quelle région?13,nom_entreprise_premier_emploi,"Adresse ( numero, rue, avenue..)de l'entreprise14",Code postal de l'entreprise15,Commune de l'entreprise16,taille_entreprise_premier_emploi,premiere_entreprise_groupe,Lequel?17,secteur_premiere_entreprise,mois_premiere_entreprise,status_cadre_premier_emploi,temps_partiel_premier_emploi,moyen_trouver_premier_emploi,critere_choix_premier_emploi,remuneration_annuelle_brute_premier_emploi,prime_premier_emploi,remuneration_prime_premier_emploi,Les éléments suivants vous semblent-ils avoir joué un rôle dans votre recrutement sur ce 1er emploi? [Stage de 5ème année/Contrat de professionnalisation],satisfaction_premier_emploi,La situation sanitaire a-t-elle eu un impact pour vous ?,Merci de préciser les raisons,satisfaction_formation,ig_avantage_double_competence,ig_membre_reseau,Laquelle?,Souhaitez vous être informé sur l' association des diplômés de Polytech (Polytech Connect)?,recommandation_polytech
Femme,2083067306157760,Oui,,2020,Sous contrat de professionalisation,,Non,Mécanique et Interactions (MI),En recherche emploi,,,Oui,Non,"Manque d'expérience professionnelle|Peu d'offres d'emploi|""Crise sanitaire""",,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Report de signature de contrat / Report d'embauche|Annulation d'embauche|Moins de propositions de recrutement|Moins d'offres d'emploi|Prétention salariale revue,4.0,,,,Oui,Oui
Homme,1767472953470000,Oui,,2019,Formation initiale (hors apprentissage),,Non,Sciences et Technologies de l'Eau (STE),En activité professionnelle,,Non,,,,,,,,,,,,Oui,Salarié(e) secteur privé (y compris structure associative),CDD (contrat de travail à durée déterminée),1.0,En France,Occitanie,,À temps plein,1.0,0.0,SAUR,,30900,Nimes,,5 000 salarié(e)s ou plus,Non,,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Ingénieur hydraulique ,Oui,Recherche-développement scientifique,,,,32000.0,Oui,38000.0,NON,NON,NON,OUI,Non,Quotidiennement,Très rarement,,Réseaux des anciens /association des anciens (polytech Connect),L'absence d'alternative,oui,oui,3.0,4.0,4.0,4.0,5.0,1.0,5.0,Oui,Fin du cdd dans 1 mois,activité professionnelle,,,,,,,,,De 2 à moins de 3 mois,Salarié(e) du secteur privé (y compris structure associative),,CDD (contrat de travail à durée déterminée),Fin de contrat ou fin de mission,Chargé d'études ,En France,Provence-Alpes-Côte d'Azur,Société du canal de provence,,13100,Le tholonet,250 à  4 999 salarié(e)s ,Non,,Recherche-développement scientifique,3.0,Non,Non,Stage de fin d'études,Le lieu géographique ,33000.0,Non,33000.0,5.0,2.0,Oui,Mobilité géographique compliquée|Moins de propositions de recrutement|Moins d'offres d'emploi|Changement de projet professionnel,2.0,,,,Non,Oui
Homme,1794190819221150,Oui,,2019,Formation initiale (hors apprentissage),,Oui,Sciences et Technologies de l'Eau (STE),Sans activité volontairement,Recherche Service Civique,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thèse,,,,En France,Occitanie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Perte d'emploi / Cessation d'activité,4.0,,,,Oui,Oui
Femme,1783049864940510,Oui,,2020,Formation initiale (hors apprentissage),,Non,Génie Biologique et Agroalimentaires (GBA),En poursuite d'études (hors thèse),,,,,,,non,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Recours au télétravail|Moins de propositions de recrutement|Moins d'offres d'emploi,5.0,,,,Oui,Oui
Homme,1875713102128940,Oui,,2020,Formation initiale (hors apprentissage),,Non,Microélectronique Et Automatique (MEA),En activité professionnelle,,Non,,,,,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDD (contrat de travail à durée déterminée),12.0,En France,Occitanie,,À temps plein,3.0,0.0,EREMS ,13 chemin de la madeleine ,31130,Flourens,http://www.erems.fr/en/,De 50 à 249 salarié(e)s ,Non,,Département Numérique ,Responsable de design numérique ,Oui,Autres secteurs ,,"VHDL|""Perl""",,31992.0,Non,31992.0,NON,NON,NON,NON,Non,Quotidiennement,Quotidiennement,De 1 à moins de 2 mois,Site Internet spécialisé dans l'emploi (dont APEC),L'adéquation avec un projet professionnel ,oui,non,4.0,4.0,4.0,3.0,4.0,4.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,2.0,,,,Oui,Non
Femme,1867911690863990,Oui,,2019,Formation initiale (hors apprentissage),,Non,Informatique et Gestion (IG),En activité professionnelle,,Non,,,,,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,À temps plein,15.0,5.0,Conserto,Place Pierre Duheim,34000,Montpellier,http://conserto.pro,De 50 à 249 salarié(e)s ,Non,,Etudes et développement en systèmes d'information ,Ingénieur d'étude et de développement,Oui,Activités informatiques et services d'information (TIC services),,,,33000.0,Non,33000.0,NON,NON,NON,OUI,Non,Quotidiennement,,Moins d'un mois,Site Internet spécialisé dans l'emploi (dont APEC),L'adéquation avec un projet professionnel ,oui,oui,4.0,5.0,5.0,4.0,4.0,5.0,4.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,5.0,OUI,NON,,Oui,Oui
Homme,1788520668242630,Oui,,2020,Formation initiale (hors apprentissage),,Non,Microélectronique Et Automatique (MEA),En activité professionnelle,,Non,,,,,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,À temps plein,5.0,2.0,Oceasoft,720 Rue Louis Lépine,3400,Montpellier,https://www.oceasoft.com/fr/accueil,De 50 à 249 salarié(e)s ,Oui,Dickson Data,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Développeur logiciel embarqué ,Oui,Autres secteurs ,,"C|C++|""Python""",,30000.0,Non,30000.0,NON,NON,NON,NON,Non,Quotidiennement,Souvent (plusieurs heures par semaine),Emploi trouvé avant l'obtention de votre diplôme,"Réseau social professionnel (viadéo, Linkedln)",Le contenu de la mission / poste proposé,oui,oui,5.0,5.0,5.0,4.0,3.0,5.0,5.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Recours au télétravail,4.0,,,,Oui,Oui
Homme,1767472951669570,Oui,,2020,Sous contrat d'apprentissage,Nouvelle-Aquitaine,Non,Eau et Génie Civil (EGC - apprentissage),En activité professionnelle,,Non,,,,,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Nouvelle-Aquitaine,,À temps plein,0.0,0.0,Aptiskills, 11 Rue des Gamins,33800,Bordeaux,https://www.aptiskills.fr,De 20 à 49 salarié(e)s ,Non,,Production - Exploitation ,Ingénieur travaux,Oui,"Construction, BTP",,,,34000.0,Oui,37000.0,OUI,OUI,OUI,OUI,Non,Quotidiennement,Très rarement,,Site Internet spécialisé dans l'emploi (dont APEC),Les compétences,oui,oui,4.0,4.0,5.0,4.0,5.0,3.0,5.0,Oui,Partir à l'étranger ou gagner d'autres compétences ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,Missions modifiées|Chômage partiel / Réduction d'activité|Mobilité géographique compliquée|Moins d'offres d'emploi,5.0,,,,Oui,Oui
Homme,1783551851748090,Oui,,2019,Formation initiale (hors apprentissage),,Non,Sciences et Technologies de l'Eau (STE),En activité professionnelle,,Non,,,,,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,À temps partiel,14.0,0.0,Acadomia Perpignan,10 Boulevard Wilson,66000,Perpignan,https://www.acadomia.fr,De 10 à 19 salarié(e)s ,Oui,Acadomia,Enseignement - Formation ,Professeur particulier de Mathématiques à domicile,Non,"Enseignement, recherche",,,,,Oui,,NON,NON,NON,NON,Non,Quotidiennement,Très rarement,,Candidature spontannée,L'adéquation avec un projet professionnel ,oui,non,4.0,5.0,5.0,3.0,5.0,4.0,1.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,"Perte d'emploi / Cessation d'activité|""Perte de salaires""",5.0,,,,Non,Oui
Homme,1775426942739380,Oui,,2019,Formation initiale (hors apprentissage),,Non,Informatique et Gestion (IG),En activité professionnelle,,Non,,,,,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,A l'étranger,,Royaume-Uni,À temps plein,18.0,0.0,VAUBAN TECHNOLOGIES LIMITED,1 Frederick's Pl,EC2R 8AE,The City of London,https://vauban.io,De 10 à 19 salarié(e)s ,Non,,Direction générale ,CTO,Oui,Activités financières et d'assurance,,,,52000.0,Non,52000.0,OUI,OUI,OUI,OUI,Oui,Quotidiennement,Quotidiennement,Emploi trouvé avant l'obtention de votre diplôme,"Réseau social professionnel (viadéo, Linkedln)",Le contenu de la mission / poste proposé,oui,oui,5.0,5.0,5.0,5.0,5.0,5.0,1.0,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,5.0,OUI,NON,,Oui,Oui
