"identifiant","remuneration_annuelle_brute_avec_prime_premier_emploi","remuneration_prime","mois_emploi_occupe"
"1775485021922490",NA,35000,20
"1776621922899930",NA,NA,36
"1783100907516760",NA,NA,NA
"1782332346367810",NA,24800,30
"1767558293536730",NA,22115,6
"1802845933342610",31000,NA,NA
"1746218061142890",29000,35000,13
"1782455451807660",NA,24400,7
"1789471795247670",NA,32000,8
"1782462539988080",18000,NA,NA
"1817251530420860",NA,37000,5
"1782338146998600",NA,28000,5
"1782652421175370",NA,NA,NA
"1788686206766700",NA,NA,19
"1867187702191360",NA,NA,NA
"1789081031642080",NA,36000,28
"1775951503420270",NA,24000,3
"1775414848107460",NA,35000,4
"1775874295172510",NA,42000,6
"1875637079854650",NA,32000,6
"1803013717175410",36000,43400,6
"1983105752526800",NA,43500,5
"1794043016942650",NA,40000,19
"1783483691601170",NA,35000,25
"1802845934180710",NA,34500,0
"1988881451948860",NA,NA,6
"1783101163885070",NA,40000,19
"1768453733098370",NA,32000,6
"1829834073632500",NA,28600,0
"1794038680873930",NA,40000,6
"1788522877846480",NA,35000,19
"1875951047820870",25714,NA,NA
"1875597517118310",NA,NA,NA
"1789201429943170",NA,34000,6
"1788410727943700",NA,36000,20
"1798487086708370",NA,50000,9
"1788692292441650",NA,39680,32
"1798487225680640",NA,90000,19
"1783100844107620",NA,NA,NA
"1889138761453360",NA,NA,NA
"1789425994864370",30000,32000,7
"1782921161321410",NA,NA,NA
"1789743885640150",NA,NA,NA
"1775569705461140",NA,31250,10
"1883297596412640",NA,NA,4
"1783800345000250",NA,31000,4
"1783100972224870",NA,56000,16
"1788640431339910",NA,38000,20
"1788692236208470",NA,NA,17
"1875976707137840",NA,35500,30
"1789246064047590",NA,31000,20
"1788460148903230",NA,32000,4
"1782657351928680",NA,32400,6
"1758626743656350",NA,36000,30
"1775485102953540",NA,33500,30
"1788692247409240",NA,NA,7
"1810540685739260",42000,NA,NA
"1782390161406330",NA,35000,18
"1793744655723610",NA,34000,8
"1798487360568530",NA,NA,36
"1989049466189050",NA,32000,19
"1803449120268200",NA,38300,16
"1783101170208130",NA,57000,29
"1789582833222250",NA,34704,1
"1782975188568460",NA,NA,7
"1788522878377980",NA,29555,2
"1775342503472560",NA,NA,NA
"1783297925213700",70000,83000,2
"1922393470652230",NA,NA,NA
"1999261143837510",34000,NA,NA
"1789078855303470",NA,45000,25
"1775488150892280",32000,31000,5
"1798753116911410",NA,37000,30
"1775485170160420",NA,36000,30
"1776551709633630",34000,39000,2
"1810402787455600",NA,36000,7
"1776551789369000",30000,NA,NA
"1776621622976710",NA,55000,48
"1888640124940790",NA,47000,33
"1783556163890680",NA,NA,NA
"1882649662104760",NA,38000,30
"1788692351716800",NA,29000,30
"1889477329164220",NA,48000,31
"1875976736350440",NA,35000,32
"1794381833855800",NA,38000,3
"1793990186618710",NA,NA,NA
"1776102123724400",NA,35100,8
"1782593075378550",NA,42000,5
"1794034551087380",NA,37800,20
"1782333583129860",NA,NA,7
"1888414432669460",35000,39000,5
"1782661099856010",NA,44000,7
"1876106370384640",NA,NA,NA
"1789083202231100",NA,41000,18
"1798760266975780",NA,NA,NA
"1782650024062030",NA,NA,NA
"1888769142098890",NA,43000,31
"1782520449871790",33000,NA,8
"1788460154528450",44500,48157,30
"1793993280180810",35000,NA,NA
"1782392708639820",NA,44000,46
"1876091309972940",NA,36000,18
"1789139176227000",NA,37000,30
"1876018965184570",NA,33000,9
"1783429206134070",NA,42500,24
"1794484708840340",NA,30550,14
"1776097769097820",NA,43000,16
"1789078791169080",29000,NA,NA
"1782338143131460",NA,NA,18
"1882649661968720",NA,45000,20
"1806734160413460",NA,36000,8
"1798891450394960",NA,NA,24
"1768367439862310",NA,NA,12
"1788692356771020",NA,NA,NA
"1857534012945670",NA,25000,30
"1788417076985850",NA,NA,7
"1768367529836290",NA,NA,2
"1783551733103470",NA,32760,13
"1798529028392690",NA,NA,19
"1875872396245450",NA,NA,11
"1783100983094780",NA,35000,12
"1789139235822350",NA,NA,NA
"21334118811",NA,33000,7
"1783297913799080",NA,40000,20
"1782336188924400",NA,36000,19
"1767188224335030",NA,33000,16
"1783551787687820",NA,31000,1
"1789201479500860",NA,NA,11
"1788459979017060",NA,NA,19
"1775951507953250",NA,44000,20
"1775408658415940",NA,21540,4
"1794929186772720",NA,23600,18
"1882745436433210",35000,35000,1
"1788522982414110",NA,46680,7
"1776166837635090",35000,NA,NA
"1794185699977450",NA,32000,31
"1883492706929090",NA,24900,12
"1788742416961310",29694,34340,1
"1783101100420100",NA,NA,NA
"1783100843364390",NA,43000,10
"1782333510091950",NA,37550,8
"1782917292321620",NA,30000,11
"1783101106098510",37000,48000,14
"1783429267111760",NA,NA,NA
"1783165011404310",NA,NA,6
"1868316565710660",31000,34000,1
"1782326986593200",NA,35000,24
"1803128595870800",NA,22500,16
"1776109662930170",NA,NA,20
"1776106803648430",31000,40000,12
"1776091591635030",NA,39000,1
"1789201090810250",NA,NA,18
"1783101043342780",NA,39000,15
"1810646176443910",NA,40000,12
"1788640429004420",NA,41600,2
"1782917364938230",NA,42000,26
"1783164955007280",NA,NA,32
"1788922249509080",NA,36150,6
"1788405221950260",NA,34000,31
"1782336187620510",NA,NA,NA
"1789139123747760",29500,32050,8
"1767473061846770",NA,33000,32
"1788410671231800",NA,35000,18
"1789472400623880",NA,NA,NA
"1776091817677840",NA,NA,NA
"1776626309975250",NA,NA,NA
"1793990129761240",NA,32400,6
"1776245031282240",NA,20500,26
"1768459845002980",28000,27000,5
"1788516703227880",NA,NA,NA
"1883036490563720",24000,35000,12
"1794339396701390",NA,31000,1
"1767911679881990",NA,NA,NA
"1782910794654010",NA,35000,26
"1775265351563430",NA,NA,24
"1782336125707060",36000,39000,1
"1783101036883390",NA,NA,12
"1775265358395310",NA,33000,20
"1789196467740810",NA,NA,NA
"1782921228983150",NA,NA,NA
"1794041630503410",NA,33000,14
"1788520719154830",32000,46000,29
"1783101038165470",NA,36000,11
"1982874436811090",29000,30000,13
"1883297978191050",NA,NA,2
"1759195423053240",26400,14400,12
"1893834896413630",NA,NA,NA
"1794283011443330",29000,36000,1
"1789364896782840",NA,NA,NA
"1782921089373600",24000,NA,NA
"1794680919609480",NA,NA,NA
"1783429272817870",NA,45000,24
"1794681459593540",NA,22200,8
"1767833330154230",NA,NA,1
"1888881489207040",NA,34500,32
"1798487223863940",NA,NA,NA
"1788416963560000",30000,30000,4
"1802847679906210",25000,32000,12
"1882337756552340",24588,29718,21
"1783036847404770",NA,36960,24
"1788413221511120",NA,28000,8
"1775263659756940",NA,32000,11
"1782327051181470",NA,32500,31
"1783165150826200",17100,NA,NA
"1799420083152780",NA,NA,8
"1789083314415180",31900,34000,4
"1788523051990200",NA,32000,20
"1793841806784840",NA,NA,18
"1777139253176990",NA,31000,5
"1788744550434370",NA,36000,12
"1788410899702660",NA,NA,NA
"1882938854576710",27000,34000,24
"1793786670128700",31000,31000,3
"1882916978528630",NA,28000,20
"1882874459931920",NA,NA,NA
"1882331840080640",NA,32000,19
"1789743775077570",NA,34000,2
"1876102282466920",NA,NA,NA
"1793841848336860",18000,NA,NA
"1798760132002820",NA,32000,9
"1793738581229780",28000,NA,NA
"1798487182527800",NA,NA,NA
"1788640536752860",32000,NA,NA
"1793784813443180",NA,33000,17
"69897000433602",35000,NA,NA
"1776551784277790",NA,NA,NA
"1822549917121160",NA,31000,7
"1867827346423290",NA,NA,NA
"1782720112457720",NA,38000,17
"1798761163867390",NA,27500,14
"1782336127638740",NA,31000,9
"1782921283039590",NA,36000,13
"1788516824861130",NA,37000,28
"1793840248335370",33000,30000,1
"1789083267067180",30000,39000,7
"1876241676867480",36000,36000,5
"1789246118099040",NA,31200,19
"1982874437475100",NA,NA,NA
"1789200821814210",NA,35000,27
"1793940780763400",NA,43000,30
"1793740587773320",NA,NA,NA
"1794775603237350",22500,27500,14
"1793944774636910",27000,35000,6
"1798572221753550",NA,34000,7
"1867472876448780",NA,35000,18
"1768453733098000",NA,31500,38
"1788516764836460",26000,31200,17
"1793840347449300",25000,25000,4
"1975222989632340",NA,NA,30
"1776170061365770",NA,38000,10
"1776167067046970",NA,NA,NA
"1776172785806750",NA,22000,17
"1868316557706330",NA,54000,9
"1899261177600800",NA,34000,6
"1776392102613310",NA,32500,33
"1788410839588190",NA,36000,9
"1776615669964620",NA,37000,30
"1766816933705740",NA,32000,30
"1898575038263350",NA,NA,NA
"1794190712445200",NA,NA,17
"1768103099391170",NA,NA,26
"1794681451788990",NA,NA,NA
"1894332573557550",NA,24000,5
"1802846091119630",NA,36000,15
"1776615832131500",NA,NA,1
"1807101912269170",NA,36150,20
"1782714862940150",NA,NA,NA
"1783429272155830",NA,NA,30
"1782336256786320",NA,32000,20
"1789078855280940",30000,38000,3
"1783551724198340",1500,36000,32
"1783551799040730",NA,53000,24
"1794637749900080",NA,33440,27
"1798487221614730",NA,35000,6
"1788573360729240",29000,NA,NA
"1776621773290900",NA,35009,26
"1777070232104030",NA,NA,NA
"1768183686766870",NA,NA,9
"1776615826893460",NA,38733,18
"1798714129947400",NA,NA,4
"1882874460265010",NA,32000,14
"1867820057929010",30000,32000,5
"1788910982411890",NA,42000,22
"1798487318316520",30800,NA,NA
"1782393036821250",NA,NA,NA
"1782336322078230",NA,36500,10
"1793834790839740",25000,35046,2
"1868014614572320",NA,39200,33
"1783492583611410",NA,NA,4
"1788692241729700",NA,30000,20
"1782333450033960",NA,29000,13
"1798623218802820",NA,NA,NA
"1889139014440800",NA,NA,20
"1902765993939960",NA,36500,36
"1,79468E+15",NA,NA,NA
"1,89926E+15",NA,NA,29
"1,78387E+15",NA,NA,NA
"1,7761E+15",NA,NA,NA
"1,78846E+15",NA,28500,4
"1,8892E+15",NA,34000,10
"1,79379E+15",NA,51437,6
"1,88905E+15",NA,31000,6
"1,77707E+15",NA,NA,NA
"1,8884E+15",27500,NA,NA
"1,85753E+15",NA,34000,14
"1,78925E+15",NA,31000,3
"1,78908E+15",21600,NA,NA
"1,77611E+15",NA,35000,3
"1,7831E+15",NA,40000,5
"1,76736E+15",18254,NA,NA
"1,88905E+15",NA,NA,3
"1,79384E+15",NA,35000,22
"1,80673E+15",NA,19000,7
"1,78234E+15",NA,28800,24
"1,78942E+15",NA,31200,5
"1,78233E+15",NA,32500,5
"1,78864E+15",NA,30000,6
"1,76818E+15",NA,31500,11
"1,78874E+15",NA,29000,4
"1,78317E+15",NA,NA,NA
"1,88905E+15",NA,NA,14
"1,78931E+15",NA,45712,5
"1,78259E+15",NA,32000,30
"1,79468E+15",NA,NA,NA
"1,79478E+15",NA,39000,4
"1,76856E+15",NA,36000,6
"1,7892E+15",NA,28800,1
"1,79379E+15",NA,40000,5
"1,76747E+15",NA,NA,NA
"1,98905E+15",NA,31500,31
"1,89384E+15",23000,NA,NA
"1,86777E+15",NA,NA,15
"1,78852E+15",29000,38000,4
"1,80285E+15",NA,36500,24
"1,78305E+15",NA,NA,NA
"1,78343E+15",NA,28000,3
"1,98292E+15",NA,34500,18
"1,78316E+15",NA,26496,3
"1,79889E+15",NA,31000,7
"1,8765E+15",31000,NA,NA
"1,89439E+15",NA,40000,17
"1,78974E+15",NA,41000,2
"1,79404E+15",NA,45000,29
"1,78265E+15",NA,NA,NA
"1,90666E+15",NA,NA,NA
"1,78348E+15",NA,NA,NA
"1,78233E+15",28000,31200,12
"1,77706E+15",NA,30000,13
"1,78909E+15",NA,37000,5
"1,78852E+15",NA,NA,NA
"1,77549E+15",NA,31000,5
"1,78958E+15",NA,NA,NA
"1,78311E+15",NA,30500,1
"1,78858E+15",NA,25200,5
"1,77595E+15",NA,31008,4
"1,78958E+15",NA,42000,8
"1,78931E+15",NA,35000,1
"1,76783E+15",NA,31000,24
"1,78914E+15",NA,35500,6
"1,88245E+15",NA,20000,1
"1,88233E+15",NA,26400,4
"1,79876E+15",NA,43400,18
"1,78292E+15",NA,NA,NA
"1,77662E+15",30000,NA,NA
"1,7831E+15",NA,40000,30
"1,79384E+15",NA,32000,6
"1,78852E+15",NA,33000,4
"1,7761E+15",NA,34000,18
"1,78234E+15",NA,34700,30
"1,82255E+15",NA,36000,17
"1,98311E+15",NA,55000,14
"1,7833E+15",NA,NA,NA
"1,88908E+15",NA,NA,NA
"1,88841E+15",24000,NA,NA
"1,79876E+15",NA,NA,NA
"1,79858E+15",NA,32400,30
"1,77611E+15",NA,65000,30
"1,78246E+15",18000,NA,NA
"1,78234E+15",NA,38500,26
"1,78914E+15",NA,NA,NA
"1,88234E+15",27000,35000,2
"1,78846E+15",51000,53550,1
"1,89383E+15",NA,25920,20
"1,78852E+15",NA,39500,6
"1,78864E+15",NA,28000,5
"1,78858E+15",NA,33000,4
"1,78914E+15",NA,40000,12
"1,77662E+15",NA,28000,6
"1,76783E+15",NA,NA,24
"1,79468E+15",25000,NA,NA
"1,78841E+15",NA,30000,4
"1,7831E+15",NA,25020,4
"1,76791E+15",NA,63000,17
"1,78246E+15",NA,29000,18
"1,76737E+15",NA,33000,13
"1,79433E+15",NA,NA,NA
"1,79433E+15",NA,29500,8
"1,78312E+15",NA,27600,7
"1,79468E+15",NA,NA,NA
"1,79849E+15",NA,NA,NA
"1,78869E+15",NA,40000,6
"1,78234E+15",NA,40000,18
"1,78253E+15",NA,NA,NA
"1,79433E+15",26000,NA,NA
"1,88864E+15",30000,32000,0
"1,78304E+15",27000,30550,7
"1,87535E+15",NA,40000,11
"1,7892E+15",NA,NA,NA
"1,77617E+15",NA,41895,18
