Genre,Identifiant,nationalite_francaise,nationalite,date_diplome,type_formation,filiere,situation_actuelle,en_recherche_emploi,temps_recherche_emploi,refus_emploi,difficultes_recherche,alternance,nature_contrat,post_actuel,autre_activite,statut_emploi,nature_contrat,duree_CDD,localisation_emploi,region_emploi,pays_localisation,mois_emploi_occupe,jours_télétravail,statut_entreprise,nb_salarie_entrprise,entreprise_groupe,groupe,departement_emploi,intitule_emploi,cadre,secteur_activite_entreprise,secteur_intervention,emploi_lie_energie_renouvelable,salaire_brut_sans_prime,prime,salaire_brut_avec_prime,responsabilite_hierarchie,responsabilite_budget,responsabilite_equipe,responsabilite_projet,international,langue_français,langue_anglais,temps_trouve_emploi,moyen_trouver_emploi,moyen_trouver_emploi,critere_choix_emploi,emploi_niveau_qualification,emploi_formation,satisfaction_emploi,condition_travail,relation_collegues,niveau_remuneration,niveau_autonomie,jugement_localisation,recherche_nouvel_emploi,raisons_recherche_emploi,situation_sortie_polytech,temps_trouve_premier_emploi,post_premier_emploi,nature_contrat,condition_fin_premier_contrat,intitule_premier_emploi,location_premier_emploi,region_emploi,nom_entreprise_premier_emploi,taille_entreprise_premier_emploi,premiere_entreprise_groupe,secteur_premiere_entreprise,mois_premiere_entreprise,status_cadre_premier_emploi,temps_partiel_premier_emploi,moyen_trouver_premier_emploi,critere_choix_premier_emploi,remuneration_annuelle_brute_premier_emploi,prime_premier_emploi,remuneration_prime_premier_emploi,satisfaction_premier_emploi,impact_covid,satisfaction_formation,ig_avantage_double_competence,ig_membre_reseau,recommandation_polytech
Homme,1767472961734920,Oui,,2019.0,Formation initiale (hors apprentissage),Informatique et Gestion (IG),En activité professionnelle,,,,,,,,Non,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Occitanie,,30.0,3.0,Secteur privé,250 à  4 999 salarié(e)s ,Oui,Altice,Ingénieur logiciel en data,Ingénieur logiciel en data,Oui,Activités informatiques et services d'information (TIC services),Industrie des technologies de l'Information et de la Communication (TIC),,,,,NON,NON,NON,OUI,Oui,Quotidiennement,Quotidiennement,Emploi trouvé avant l'obtention de votre diplôme,stage de fin d'études,stage de fin d'études,Les perspectives de carrière dans cette entreprise,oui,oui,5.0,5.0,5.0,5.0,5.0,5.0,Non,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Chômage partiel / Réduction d'activité,5.0,OUI,OUI,Oui
Homme,1789196417036320,Oui,,2019.0,Formation initiale (hors apprentissage),Mécanique et Interactions (MI),En activité professionnelle,,,,,,,,Non,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Provence-Alpes-Côte d'Azur,,15.0,0.0,Secteur privé,De 50 à 249 salarié(e)s ,Non,,Bureau d'études ,Ingénieur Structures,Oui,"Sociétés de conseil ou d'ingénieurie, bureaux d'études indépendants",Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements,,32400.0,Oui,37000.0,OUI,OUI,NON,OUI,Non,Quotidiennement,Très rarement,,"Réseau social professionnel (viadéo, Linkedln)","Plateforme emploi de l'école (Poly+)|Réseau social professionnel (viadéo, Linkedln)|Site Internet spécialisé dans l'emploi (dont APEC)|Sites Internet d'entreprises",Le contenu de la mission / poste proposé,oui,oui,3.0,5.0,4.0,4.0,4.0,4.0,Non,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,Oui
Femme,1776091815313030,Oui,,2019.0,Formation initiale (hors apprentissage),Informatique et Gestion (IG),En activité professionnelle,,,,,,,,Oui,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Occitanie,,8.0,5.0,Secteur privé,De 20 à 49 salarié(e)s ,,,,Ingénieure Études et développement ,Oui,Activités informatiques et services d'information (TIC services),Activités informatiques et services d'information (TIC services),,37000.0,Non,37000.0,NON,NON,NON,NON,Oui,Quotidiennement,Souvent (plusieurs heures par semaine),De 1 à moins de 2 mois,"Réseau social professionnel (viadéo, Linkedln)","Réseau social professionnel (viadéo, Linkedln)",La politique globale de relations humaines dans l'entreprise ,oui,oui,4.0,5.0,5.0,3.0,4.0,5.0,Non,,activité professionnelle,Moins d'un mois,Salarié(e) du secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),"Démission, vous aviez une autre proposition de contrat",Ingénieure Études et développement ,En France,Occitanie,Astek,250 à  4 999 salarié(e)s ,Oui,"Sociétés de conseil, bureaux d'études",29.0,Oui,Non,"Réseau social professionnel (Viadéo, Linkedln)",L'adéquation avec un projet professionnel ,33200.0,Oui,33500.0,2.0,Recours au télétravail|Prétention salariale revue,4.0,OUI,,Oui
Homme,1776166906953760,Oui,,2020.0,Sous contrat de professionalisation,Mécanique et Interactions (MI),En activité professionnelle,,,,,,,,Oui,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Hauts-de-France,,1.0,0.0,Secteur privé,De 20 à 49 salarié(e)s ,Non,,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Ingénieur R&D,Oui,"Sociétés de conseil ou d'ingénieurie, bureaux d'études indépendants","Énergie (Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné)",,39000.0,Oui,39000.0,NON,OUI,OUI,OUI,Oui,Quotidiennement,Quotidiennement,,Site Internet spécialisé dans l'emploi (dont APEC),Site Internet spécialisé dans l'emploi (dont APEC),Le contenu de la mission / poste proposé,oui,oui,4.0,4.0,5.0,4.0,3.0,5.0,Non,,activité professionnelle,De 3 à moins de 4 mois,Salarié(e) du secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),"Démission, vous aviez une autre proposition de contrat",Ingénieur CoolFire,En France,Grand Est,Eau et Feu,De 20 à 49 salarié(e)s ,Non,Fabrication de produits en caoutchouc et en plastique ainsi que d'autres produits minéraux non métalliques,10.0,Oui,Non,Site Internet spécialisé dans l'emploi (dont APEC),L'intérêt du travail en lui-même,35000.0,Non,35000.0,2.0,Recours au télétravail|Moins d'offres d'emploi,5.0,,,Oui
Homme,1802845972740320,Oui,,2019.0,Sous contrat de professionalisation,Mécanique et Interactions (MI),En activité professionnelle,,,,,,,,Oui,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Provence-Alpes-Côte d'Azur,,7.0,2.0,Secteur privé,De 50 à 249 salarié(e)s ,Oui,CT,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Assistant system design responsible,Oui,"Industrie automobile, aéronautique, navale, ferroviaire","Industrie automobile, aéronautique, navale, ferroviaire",,32000.0,Oui,34000.0,OUI,OUI,,OUI,Oui,Quotidiennement,Quotidiennement,,Relations personnelles,Site Internet spécialisé dans l'emploi (dont APEC)|Sites Internet d'entreprises|Candidature spontannée|Démarché(e) par un 'chasseur de têtes',L'adéquation avec un projet professionnel ,oui,oui,4.0,5.0,5.0,3.0,5.0,5.0,Non,,activité professionnelle,6 mois ou plus,Salarié(e) du secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),Départ lors du plan de licenciement lié au covid 19,Référent pôle emboutissage,En France,Centre-Val de Loire,Coaero,De 50 à 249 salarié(e)s ,Oui,Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements,12.0,Oui,Non,Stage année césure/ Contrat de professionnalisation ,Les perspectives de croissance de l'entreprise,32500.0,Oui,35000.0,2.0,Chômage partiel / Réduction d'activité|Perte d'emploi / Cessation d'activité,5.0,,,Oui
Homme,1789139068514980,Oui,,2019.0,Sous contrat d'apprentissage,Mécanique Structures Industrielles (MSI - apprentissage),En activité professionnelle,,,,,,,,Oui,Salarié(e),CDIC (contrat de travail à durée indéterminée de chantier ou d'opération),,En France,Normandie,,9.0,0.0,Secteur privé,250 à  4 999 salarié(e)s ,Oui,Groupe GISMIC,Assistance technique,Ingénieur Soudeur,Oui,Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements,Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements,,43000.0,Oui,75000.0,OUI,NON,OUI,OUI,Oui,Quotidiennement,Quotidiennement,,Démarché(e) par un 'chasseur de têtes',Démarché(e) par un 'chasseur de têtes',Le contenu de la mission / poste proposé,oui,oui,4.0,5.0,5.0,4.0,5.0,1.0,Non,,activité professionnelle,Moins d'un mois,Salarié(e) du secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),"Démission, vous aviez une autre proposition de contrat",Ingénieur Soudeur ,En France,Grand Est,Fives Nordon,De 50 à 249 salarié(e)s ,Oui,Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements,6.0,Oui,Non,Relations personnelles,Le montant du salaire proposé ,41000.0,Oui,81000.0,2.0,Recours au télétravail|Annulation d'embauche,4.0,,,Oui
Homme,1793990185052440,Oui,,2020.0,Formation initiale (hors apprentissage),Mécanique et Interactions (MI),En thèse / PhD,,,,,,Contrat à durée déterminée (CDD),,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Moins de propositions de recrutement|Moins d'offres d'emploi,4.0,,,Oui
Homme,1769007890066910,Oui,,2020.0,Formation initiale (hors apprentissage),Mécanique et Interactions (MI),En activité professionnelle,,,,,,,,Non,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Occitanie,,10.0,1.0,Secteur privé,5 000 salarié(e)s ou plus,Oui,Orano,Etudes - Conseil et expertise (autre qu'informatique),Ingénieur mécanique,Oui,"Production et distribution d'eau assainissement, gestion des déchets et dépollution","Production et distribution d'eau assainissement, gestion des déchets et dépollution",,35000.0,Oui,37500.0,NON,NON,NON,NON,Non,Quotidiennement,Très rarement,,Candidature spontannée,"Réseau social professionnel (viadéo, Linkedln)|Site Internet spécialisé dans l'emploi (dont APEC)|Sites Internet d'entreprises|Candidature spontannée",L'absence d'alternative,oui,oui,3.0,5.0,5.0,4.0,5.0,2.0,Non,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Moins de propositions de recrutement|Moins d'offres d'emploi,3.0,,,Oui
Femme,1882333144986470,Oui,,2020.0,Formation initiale (hors apprentissage),Mécanique et Interactions (MI),En activité professionnelle,,,,,,,,Oui,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Auvergne-Rhône-Alpes,,10.0,3.0,Secteur privé,5 000 salarié(e)s ou plus,Non,,Etudes - Conseil et expertise (autre qu'informatique),Ingénieur conception thermomécanique,Oui,Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements,Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements,,33230.0,Oui,36500.0,NON,NON,NON,OUI,Oui,Quotidiennement,Quotidiennement,,Site Internet spécialisé dans l'emploi (dont APEC),"stage de fin d'études|Réseau social professionnel (viadéo, Linkedln)|Site Internet spécialisé dans l'emploi (dont APEC)|Candidature spontannée",Le contenu de la mission / poste proposé,oui,oui,4.0,4.0,5.0,4.0,4.0,5.0,Non,,activité professionnelle,Emploi trouvé avant l'obtention de votre diplôme,Salarié(e) du secteur privé (y compris structure associative),CDD (contrat de travail à durée déterminée),Fin de contrat ou fin de mission,Assistante ingénieur,En France,Auvergne-Rhône-Alpes,ECM Technologies,250 à  4 999 salarié(e)s ,Oui,Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements,2.0,Non,Non,Stage de fin d'études,L'intérêt du travail en lui-même,19236.0,Non,19236.0,1.0,Recours au télétravail|Report de signature de contrat / Report d'embauche|Annulation d'embauche|Moins de propositions de recrutement|Moins d'offres d'emploi,4.0,,,Oui
Femme,1875368398704990,Oui,,2020.0,Formation initiale (hors apprentissage),Mécanique et Interactions (MI),En thèse / PhD,,,,,,Contrat à durée déterminée (CDD),,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Mobilité géographique compliquée,4.0,,,Oui
Femme,1857534014892390,Oui,,2020.0,Sous contrat de professionalisation,Mécanique et Interactions (MI),En activité professionnelle,,,,,,,,Oui,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Nouvelle-Aquitaine,,6.0,2.0,Secteur privé,De 20 à 49 salarié(e)s ,Non,,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Chef de Projet R&D Industrialisation,Oui,Industrie pharmaceutique,Recherche-développement scientifique,,37000.0,Oui,40000.0,NON,OUI,NON,OUI,Oui,Quotidiennement,Quotidiennement,,Apprentissage (embauche dans l'entreprise d'accueil du contrat),Apprentissage (embauche dans l'entreprise d'accueil du contrat),L'adéquation avec un projet professionnel ,oui,oui,5.0,5.0,5.0,5.0,4.0,3.0,Non,,Poursuite d'études (hors thèse),,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Chômage partiel / Réduction d'activité|Mobilité géographique compliquée|Moins de propositions de recrutement|Moins d'offres d'emploi,3.0,,,Oui
Homme,1899261178132260,Oui,,2020.0,Formation initiale (hors apprentissage),Mécanique et Interactions (MI),En activité professionnelle,,,,,,,,Non,Salarié(e),CDD (contrat de travail à durée déterminée) y compris de la fonction publique,1.0,En France,Occitanie,,10.0,3.0,Secteur public,250 à  4 999 salarié(e)s ,Non,,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Ingénieur de Recherche en Simulation Numérique,Oui,"Enseignement, recherche",Recherche-développement scientifique,,24108.0,Non,24108.0,NON,NON,NON,NON,Oui,Quotidiennement,Quotidiennement,De 1 à moins de 2 mois,Relations personnelles,Site Internet spécialisé dans l'emploi (dont APEC)|Relations personnelles,Le contenu de la mission / poste proposé,oui,oui,4.0,4.0,4.0,4.0,5.0,4.0,Non,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Moins de propositions de recrutement|Moins d'offres d'emploi,5.0,,,Oui
Homme,1793841853377000,Oui,,2019.0,Formation initiale (hors apprentissage),Mécanique et Interactions (MI),En activité professionnelle,,,,,,,,Non,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Occitanie,,24.0,3.0,Secteur privé,De 50 à 249 salarié(e)s ,Non,,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Chef de projet (New product development),Oui,Industrie pharmaceutique,Recherche-développement scientifique,,40000.0,Non,40000.0,NON,OUI,NON,OUI,Oui,Quotidiennement,Quotidiennement,De 2 à moins de 3 mois,Candidature spontannée,"Réseau social professionnel (viadéo, Linkedln)|Site Internet spécialisé dans l'emploi (dont APEC)|Sites Internet d'entreprises|Candidature spontannée",L'adéquation avec un projet professionnel ,oui,oui,4.0,5.0,3.0,3.0,4.0,5.0,Non,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Missions modifiées,5.0,,,Oui
Homme,1782910863618510,Oui,,2019.0,Sous contrat de professionalisation,Matériaux (MAT),En activité professionnelle,,,,,,,,Oui,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Île-de-France,,3.0,2.0,Secteur privé,5 000 salarié(e)s ou plus,Oui,Safran ,"Méthodes, contrôle de production, maintenance",Valideur technique,Oui,"Industrie automobile, aéronautique, navale, ferroviaire","Industrie automobile, aéronautique, navale, ferroviaire",,35503.0,Oui,35503.0,NON,NON,NON,OUI,Oui,Quotidiennement,Souvent (plusieurs heures par semaine),,Site Internet spécialisé dans l'emploi (dont APEC),"Réseau social professionnel (viadéo, Linkedln)|Site Internet spécialisé dans l'emploi (dont APEC)|Sites Internet d'entreprises|Candidature spontannée",Le secteur d'activité de l'entreprise,oui,oui,3.0,3.0,4.0,2.0,3.0,2.0,Non,,activité professionnelle,Emploi trouvé avant l'obtention de votre diplôme,Salarié(e) du secteur privé (y compris structure associative),CDD (contrat de travail à durée déterminée),Fin de contrat ou fin de mission,Referent procédés spéciaux ,En France,Centre-Val de Loire,Coaero,De 50 à 249 salarié(e)s ,Oui,"Industrie automobile, aéronautique, navale, ferroviaire",10.0,Oui,Non,Stage année césure/ Contrat de professionnalisation ,L'adéquation avec un projet professionnel ,32500.0,Non,32500.0,3.0,Chômage partiel / Réduction d'activité|Annulation d'embauche|Changement de projet professionnel,4.0,,,Oui
Homme,1768183597444170,Oui,,2019.0,Formation initiale (hors apprentissage),Microélectronique Et Automatique (MEA),En activité professionnelle,,,,,,,,Oui,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Provence-Alpes-Côte d'Azur,,32.0,3.0,Secteur privé,De 50 à 249 salarié(e)s ,Oui,EMK Capital,Informatique industrielle et technique ,Ingénieur QA,Oui,Industrie des technologies de l'Information et de la Communication (TIC),Industrie des technologies de l'Information et de la Communication (TIC),,40000.0,Non,40000.0,NON,NON,NON,OUI,Oui,Quotidiennement,Quotidiennement,Moins d'un mois,"Réseau social professionnel (viadéo, Linkedln)","Réseau social professionnel (viadéo, Linkedln)|Site Internet spécialisé dans l'emploi (dont APEC)|Démarché(e) par un 'chasseur de têtes'|Relations personnelles",Le contenu de la mission / poste proposé,oui,non,3.0,5.0,5.0,3.0,4.0,3.0,Non,,activité professionnelle,Moins d'un mois,Salarié(e) du secteur public,CDI (contrat de travail à durée indéterminée),"Démission, vous aviez une autre proposition de contrat",ingénieur junior QA,En France,Provence-Alpes-Côte d'Azur,Elsys,,,Industrie des technologies de l'Information et de la Communication (TIC),,Oui,Non,Site Internet spécialisé dans l'emploi (dont APEC),L'adéquation avec un projet professionnel ,37000.0,Oui,38000.0,2.0,Recours au télétravail|Report d'une évolution de carrière|Prétention salariale revue,4.0,,,Oui
Homme,1775874372476520,Oui,,2019.0,Formation initiale (hors apprentissage),Microélectronique Et Automatique (MEA),En activité professionnelle,,,,,,,,Non,Non salarié(e) / Indépendant(e),,,En France,Occitanie,,36.0,2.0,Secteur privé,5 000 salarié(e)s ou plus,Non,,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Digital desing & verification ,Oui,"Industrie automobile, aéronautique, navale, ferroviaire","Industrie automobile, aéronautique, navale, ferroviaire",,45000.0,Non,45000.0,NON,NON,NON,NON,Oui,Quotidiennement,Quotidiennement,Emploi trouvé avant l'obtention de votre diplôme,stage de fin d'études,stage de fin d'études,L'adéquation avec un projet professionnel ,oui,oui,4.0,5.0,5.0,5.0,3.0,5.0,Non,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,Oui
Homme,1794970940624460,Oui,,2019.0,Sous contrat d'apprentissage,Mécanique Structures Industrielles (MSI - apprentissage),En activité professionnelle,,,,,,,,Non,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,A l'étranger,,Suisse,18.0,0.0,Secteur privé,250 à  4 999 salarié(e)s ,Oui,,"Méthodes, contrôle de production, maintenance",Adjoint Chef de projet,Oui,Industrie pharmaceutique,Industrie pharmaceutique,,100000.0,Oui,120000.0,OUI,NON,OUI,OUI,Oui,Quotidiennement,Rarement (quelques fois par mois),,Candidature spontannée,"Réseau social professionnel (viadéo, Linkedln)",La notoriété de l'entreprise ,oui,oui,4.0,4.0,5.0,5.0,4.0,4.0,Non,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,Oui
Homme,1789471732111400,Oui,,2020.0,Sous contrat d'apprentissage,Mécanique Structures Industrielles (MSI - apprentissage),En activité professionnelle,,,,,,,,Non,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Provence-Alpes-Côte d'Azur,,8.0,0.0,Secteur privé,250 à  4 999 salarié(e)s ,Non,,Etudes - Conseil et expertise (autre qu'informatique),Ingénieur bureau d'études,Oui,"Sociétés de conseil ou d'ingénieurie, bureaux d'études indépendants","Sociétés de conseil ou d'ingénieurie, bureaux d'études indépendants",,34000.0,Oui,36000.0,NON,NON,NON,NON,Oui,Quotidiennement,Quotidiennement,,Site Internet spécialisé dans l'emploi (dont APEC),"Réseau social professionnel (viadéo, Linkedln)|Site Internet spécialisé dans l'emploi (dont APEC)",Le contenu de la mission / poste proposé,oui,oui,4.0,5.0,5.0,3.0,3.0,5.0,Non,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,Oui
Homme,1875264073639880,Oui,,2020.0,Sous contrat d'apprentissage,Mécanique Structures Industrielles (MSI - apprentissage),En activité professionnelle,,,,,,,,Non,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,A l'étranger,,Chine,4.0,0.0,Secteur privé,De 50 à 249 salarié(e)s ,Oui,Iron Will France,"Méthodes, contrôle de production, maintenance",Responsable qualité et soudage,Oui,Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements,Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements,,60000.0,Oui,60000.0,OUI,NON,OUI,OUI,Oui,Quotidiennement,Quotidiennement,,Apprentissage (embauche dans l'entreprise d'accueil du contrat),Apprentissage (embauche dans l'entreprise d'accueil du contrat),Le contenu de la mission / poste proposé,oui,oui,5.0,5.0,5.0,3.0,5.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,Mobilité géographique compliquée,5.0,,,Oui
Homme,1782336121852570,Oui,,2020.0,Sous contrat d'apprentissage,Mécanique Structures Industrielles (MSI - apprentissage),En activité professionnelle,,,,,,,,Non,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Auvergne-Rhône-Alpes,,5.0,0.0,Secteur privé,250 à  4 999 salarié(e)s ,Oui,Foselev,"Méthodes, contrôle de production, maintenance",Ingénieur soudage QAQC,Oui,Industrie chimique,Industrie chimique,,32400.0,Oui,35500.0,NON,NON,NON,NON,Non,Quotidiennement,Rarement (quelques fois par mois),,Apprentissage (embauche dans l'entreprise d'accueil du contrat),Sites Internet d'entreprises,Le contenu de la mission / poste proposé,oui,oui,5.0,5.0,5.0,4.0,5.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,Oui
Femme,1788639923539010,,,2019.0,Formation initiale (hors apprentissage),Génie Biologique et Agroalimentaires (GBA),En activité professionnelle,,,,,,,,Oui,Salarié(e),"CTT (contrat de travail Temporaire, mission interim)",,En France,Occitanie,,0.0,2.0,Secteur privé,250 à  4 999 salarié(e)s ,,,Innovation Packaging,Chef de projet développement packaging ,Oui,Industrie pharmaceutique,Industrie pharmaceutique,,,,,,,,,,,,De 4 à moins de 5 mois,Site Internet spécialisé dans l'emploi (dont APEC),"Réseau social professionnel (viadéo, Linkedln)|Site Internet spécialisé dans l'emploi (dont APEC)|Sites Internet d'entreprises",Le lieu géographique ,oui,oui,,,,,,,Non,,activité professionnelle,De 5 à moins de 6 mois,Salarié(e) du secteur privé (y compris structure associative),CDD (contrat de travail à durée déterminée),Fin de contrat ou fin de mission,Expert transport et inspecteur qualité-auditeur ,En France,Occitanie,,De 20 à 49 salarié(e)s ,,Autres secteurs ,7.0,Oui,Non,Site Internet spécialisé dans l'emploi (dont APEC),Le lieu géographique ,,,,2.0,,5.0,,,Oui
Homme,1783679154622050,Oui,,2020.0,Sous contrat d'apprentissage,Mécanique Structures Industrielles (MSI - apprentissage),En activité professionnelle,,,,,,,,Non,Non salarié(e) / Indépendant(e),,,A l'étranger,,Tunisie,4.0,0.0,Secteur privé,De 50 à 249 salarié(e)s ,Oui,HYDROKARST GROUPE,Maîtrise d'ouvrage ,INGENIEUR HYDROMECANIQUE SUR BARRAGE,Non,"Construction, BTP","Construction, BTP",,,,,OUI,NON,NON,OUI,Oui,Quotidiennement,Rarement (quelques fois par mois),Emploi trouvé avant l'obtention de votre diplôme,Candidature spontannée,Site Internet spécialisé dans l'emploi (dont APEC)|Sites Internet d'entreprises|Candidature spontannée|Relations personnelles,Le contenu de la mission / poste proposé,oui,non,5.0,2.0,5.0,4.0,4.0,5.0,Non,,,,,,,,,,,,,,,,,,,,,,,Mobilité géographique compliquée,4.0,,,Oui
Femme,1876166559014830,Oui,,2019.0,Sous contrat de professionalisation,Matériaux (MAT),"En volontariat (VIE, VIA, Volontariat civil..)",,,,,,,Service civique - Appui à la coordination du réseau des Ambassadeurs,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,activité professionnelle,De 4 à moins de 5 mois,Salarié(e) du secteur privé (y compris structure associative),"CTT (contrat de travail temporaire, mission d'intérim)",Fin de contrat ou fin de mission,Responsable QEHS & Performance,En France,Occitanie,Veolia,5 000 salarié(e)s ou plus,Oui,"Production et distribution d'eau assainissement, gestion des déchets et dépollution",3.0,Oui,Non,Site Internet spécialisé dans l'emploi (dont APEC),Le lieu géographique ,36000.0,Non,36000.0,3.0,,5.0,,,Oui
Homme,1888410468693410,Oui,,2020.0,Sous contrat d'apprentissage,Mécanique Structures Industrielles (MSI - apprentissage),En activité professionnelle,,,,,,,,Non,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Provence-Alpes-Côte d'Azur,,17.0,0.0,Secteur privé,250 à  4 999 salarié(e)s ,Oui,Onet,Etudes - Conseil et expertise (autre qu'informatique),Ingénieur soudeur,Oui,Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements,"Énergie (Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné)",,38000.0,Non,38000.0,NON,OUI,NON,OUI,Non,Quotidiennement,Rarement (quelques fois par mois),Emploi trouvé avant l'obtention de votre diplôme,Apprentissage (embauche dans l'entreprise d'accueil du contrat),Apprentissage (embauche dans l'entreprise d'accueil du contrat),Le contenu de la mission / poste proposé,oui,oui,5.0,4.0,5.0,3.0,4.0,5.0,Non,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,Oui
Homme,1882529047249510,Oui,,2019.0,Formation initiale (hors apprentissage),Microélectronique Et Automatique (MEA),En activité professionnelle,,,,,,,,Non,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Occitanie,,12.0,2.0,Secteur privé,5 000 salarié(e)s ou plus,Non,,Informatique industrielle et technique ,Software engineer,Oui,"Énergie (Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné)",Activités informatiques et services d'information (TIC services),,39000.0,Oui,42000.0,NON,NON,NON,NON,Oui,Quotidiennement,Quotidiennement,,Site Internet spécialisé dans l'emploi (dont APEC),"Réseau social professionnel (viadéo, Linkedln)|Site Internet spécialisé dans l'emploi (dont APEC)|Sites Internet d'entreprises|Démarché(e) par un 'chasseur de têtes'",Les perspectives de carrière dans cette entreprise,oui,oui,5.0,5.0,5.0,4.0,5.0,5.0,Non,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail,4.0,,,Oui
Homme,1758627194075820,Oui,,2019.0,Sous contrat d'apprentissage,Eau et Génie Civil (EGC - apprentissage),En activité professionnelle,,,,,,,,Non,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Occitanie,,28.0,1.0,Secteur privé,De 20 à 49 salarié(e)s ,Oui,SUEZ,Etudes - Conseil et expertise (autre qu'informatique),Ingénieur de projet Maitrise d'oeuvre,Oui,"Construction, BTP","Construction, BTP",,34500.0,Non,34500.0,NON,OUI,NON,OUI,Non,Quotidiennement,Rarement (quelques fois par mois),Emploi trouvé avant l'obtention de votre diplôme,Apprentissage (embauche dans l'entreprise d'accueil du contrat),Apprentissage (embauche dans l'entreprise d'accueil du contrat),Le lieu géographique ,oui,oui,4.0,3.0,4.0,2.0,4.0,4.0,Non,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Missions modifiées|Chômage partiel / Réduction d'activité|Report d'une évolution de carrière|Mobilité géographique compliquée|Formation annulée ou reportée,4.0,,,Oui
