Genre,Identifiant,nationalite_francaise,nationalite,date_diplome,type_formation,filiere,situation_actuelle,en_recherche_emploi,temps_recherche_emploi,refus_emploi,difficultes_recherche,alternance,nature_contrat,post_actuel,autre_activite,statut_emploi,nature_contrat,duree_CDD,localisation_emploi,region_emploi,pays_localisation,mois_emploi_occupe,jours_télétravail,statut_entreprise,nb_salarie_entrprise,entreprise_groupe,groupe,departement_emploi,intitule_emploi,cadre,secteur_activite_entreprise,secteur_intervention,emploi_lie_energie_renouvelable,salaire_brut_sans_prime,prime,salaire_brut_avec_prime,responsabilite_hierarchie,responsabilite_budget,responsabilite_equipe,responsabilite_projet,international,langue_français,langue_anglais,temps_trouve_emploi,moyen_trouver_emploi,moyen_trouver_emploi,critere_choix_emploi,emploi_niveau_qualification,emploi_formation,satisfaction_emploi,condition_travail,relation_collegues,niveau_remuneration,niveau_autonomie,jugement_localisation,recherche_nouvel_emploi,raisons_recherche_emploi,situation_sortie_polytech,temps_trouve_premier_emploi,post_premier_emploi,nature_contrat,condition_fin_premier_contrat,intitule_premier_emploi,location_premier_emploi,region_emploi,nom_entreprise_premier_emploi,taille_entreprise_premier_emploi,premiere_entreprise_groupe,secteur_premiere_entreprise,mois_premiere_entreprise,status_cadre_premier_emploi,temps_partiel_premier_emploi,moyen_trouver_premier_emploi,critere_choix_premier_emploi,remuneration_annuelle_brute_premier_emploi,prime_premier_emploi,remuneration_prime_premier_emploi,satisfaction_premier_emploi,impact_covid,satisfaction_formation,ig_avantage_double_competence,ig_membre_reseau,recommandation_polytech
Homme,1889477070705420,Oui,,2019.0,Sous contrat de professionalisation,Génie Biologique et Agroalimentaires (GBA),En activité professionnelle,,,,,,,,Oui,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Auvergne-Rhône-Alpes,,17.0,4.0,Secteur public,5 000 salarié(e)s ou plus,Non,,"Qualité, hygiène, sécurité, environnement, normalisation, certification",Ingénieur en assurance qualité ,Oui,"Industrie automobile, aéronautique, navale, ferroviaire","Industrie automobile, aéronautique, navale, ferroviaire",,42000.0,Oui,45000.0,NON,NON,NON,OUI,Oui,Quotidiennement,Souvent (plusieurs heures par semaine),,"Réseau social professionnel (viadéo, Linkedln)","Réseau social professionnel (viadéo, Linkedln)",La notoriété de l'entreprise ,oui,non,4.0,5.0,5.0,4.0,4.0,2.0,Non,,activité professionnelle,Emploi trouvé avant l'obtention de votre diplôme,Salarié(e) du secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),"Démission, vous aviez une autre proposition de contrat",Cadre de production en formation ,En France,Auvergne-Rhône-Alpes,Bigard distribution ,250 à  4 999 salarié(e)s ,Oui,Industrie agroalimentaire ,12.0,Oui,Non,Démarché(e) par un 'chasseur de têtes',Le montant du salaire proposé ,38000.0,Oui,42000.0,1.0,,4.0,,,Oui
Homme,1793784715264040,Oui,,2020.0,Sous contrat d'apprentissage,Eau et Génie Civil (EGC - apprentissage),En activité professionnelle,,,,,,,,Oui,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Nouvelle-Aquitaine,,7.0,0.0,Secteur privé,250 à  4 999 salarié(e)s ,Oui,Soprema,Production - Exploitation ,Conducteur de Travaux,Oui,"Construction, BTP","Construction, BTP",,37000.0,Oui,43000.0,OUI,OUI,OUI,OUI,Non,Quotidiennement,Très rarement,,Site Internet spécialisé dans l'emploi (dont APEC),Site Internet spécialisé dans l'emploi (dont APEC),Les perspectives de carrière dans cette entreprise,oui,non,4.0,4.0,3.0,3.0,4.0,4.0,Non,,activité professionnelle,Emploi trouvé avant l'obtention de votre diplôme,Salarié(e) du secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),"Démission, sans autre proposition de contrat",Conducteur de Travaux,En France,Normandie,GTM Normandie Centre,De 50 à 249 salarié(e)s ,Oui,"Construction, BTP",8.0,Oui,Non,Apprenti(e) : Embauché(e) par l'entreprise d'apprentissage,L'adéquation avec un projet professionnel ,36000.0,Oui,41000.0,3.0,,3.0,,,Oui
Homme,1783429202826920,Oui,,2020.0,Formation initiale (hors apprentissage),Mécanique et Interactions (MI),En création d'entreprise /reprise d'entreprise,,,,,,,,Oui,,,,En France,Bourgogne-Franche-Comté,,20.0,0.0,Secteur privé,Aucun salarié(e),Oui,Impact,Commercial(e) (dont ingénieur(e) d'affaire) ,Commercial,Non,Industrie des technologies de l'Information et de la Communication (TIC),Industrie des technologies de l'Information et de la Communication (TIC),,60000.0,Non,60000.0,NON,NON,NON,NON,Non,Quotidiennement,Rarement (quelques fois par mois),Emploi trouvé avant l'obtention de votre diplôme,"Réseau social professionnel (viadéo, Linkedln)","Réseau social professionnel (viadéo, Linkedln)",Le montant du salaire proposé ,non,non,5.0,5.0,5.0,5.0,5.0,5.0,Non,,activité professionnelle,Emploi trouvé avant l'obtention de votre diplôme,Salarié(e) du secteur public,CDD (contrat de travail à durée déterminée),Fin de contrat ou fin de mission,Ouvrier,En France,Bourgogne-Franche-Comté,Jtekt,250 à  4 999 salarié(e)s ,Oui,"Industrie automobile, aéronautique, navale, ferroviaire",6.0,Non,Non,Candidature spontannée,L'intérêt du travail en lui-même,24000.0,Oui,25500.0,,,4.0,,,
Homme,1888522868716750,Oui,,2019.0,Formation initiale (hors apprentissage),Génie Biologique et Agroalimentaires (GBA),En activité professionnelle,,,,,,,,Non,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Nouvelle-Aquitaine,,25.0,1.0,Secteur privé,250 à  4 999 salarié(e)s ,Oui,Tolomei,"Méthodes, contrôle de production, maintenance",Ingénieur Méthodes / Amélioration continue,Oui,"Fabrication de textiles, industries de l'habillement, industrie du cuir et de la chaussure","Fabrication de textiles, industries de l'habillement, industrie du cuir et de la chaussure",,34500.0,Oui,34500.0,NON,NON,OUI,OUI,Non,Quotidiennement,Rarement (quelques fois par mois),,Site Internet spécialisé dans l'emploi (dont APEC),Site Internet spécialisé dans l'emploi (dont APEC)|Sites Internet d'entreprises|Candidature spontannée,Le contenu de la mission / poste proposé,oui,non,4.0,5.0,5.0,3.0,3.0,1.0,Non,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Missions modifiées|Chômage partiel / Réduction d'activité,4.0,,,Oui
Homme,1782921165207910,Oui,,2020.0,Sous contrat d'apprentissage,Eau et Génie Civil (EGC - apprentissage),"En volontariat (VIE, VIA, Volontariat civil..)",,,,,,,Ingénieur d'études,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,Oui
Homme,1776106806689780,Oui,,2020.0,Sous contrat d'apprentissage,Eau et Génie Civil (EGC - apprentissage),En activité professionnelle,,,,,,,,Non,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Provence-Alpes-Côte d'Azur,,15.0,3.0,Secteur privé,5 000 salarié(e)s ou plus,Non,,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Ingénieur génie civil calculs de structures ,Oui,"Énergie (Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné)","Énergie (Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné)",,37400.0,Oui,42000.0,NON,OUI,NON,OUI,Non,Quotidiennement,Très rarement,,Apprentissage (embauche dans l'entreprise d'accueil du contrat),Apprentissage (embauche dans l'entreprise d'accueil du contrat),Les perspectives de carrière dans cette entreprise,oui,oui,4.0,4.0,4.0,3.0,4.0,4.0,Non,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail,3.0,,,Oui
Femme,1875264848686010,Oui,,2019.0,Formation initiale (hors apprentissage),Génie Biologique et Agroalimentaires (GBA),En activité professionnelle,,,,,,,,Non,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Auvergne-Rhône-Alpes,,24.0,0.0,Secteur privé,De 50 à 249 salarié(e)s ,Oui,Soufflet et prochaine InVivo,Production - Exploitation ,Responsable production et logistique,Oui,Industrie agroalimentaire ,Industrie agroalimentaire ,,45000.0,Oui,48000.0,OUI,OUI,OUI,OUI,Non,Quotidiennement,Rarement (quelques fois par mois),,Sites Internet d'entreprises,Apprentissage (embauche dans l'entreprise d'accueil du contrat)|stage de fin d'études|Sites Internet d'entreprises|Candidature spontannée,Le contenu de la mission / poste proposé,oui,oui,5.0,5.0,5.0,5.0,5.0,5.0,Non,,,,,,,,,,,,,,,,,,,,,,,Formation annulée ou reportée,4.0,,,Oui
Homme,1768549870441810,Oui,,2020.0,Formation initiale (hors apprentissage),Génie Biologique et Agroalimentaires (GBA),En activité professionnelle,,,,,,,,Non,Salarié(e),"CTT (contrat de travail Temporaire, mission interim)",,En France,Île-de-France,,10.0,3.0,Secteur privé,250 à  4 999 salarié(e)s ,Non,,"Qualité, hygiène, sécurité, environnement, normalisation, certification",Chargé d'amélioration continue,Oui,Industrie pharmaceutique,Industrie pharmaceutique,,37000.0,Oui,44400.0,NON,NON,NON,OUI,Non,Quotidiennement,Rarement (quelques fois par mois),,stage de fin d'études,stage de fin d'études|Site Internet spécialisé dans l'emploi (dont APEC),Le contenu de la mission / poste proposé,oui,oui,4.0,5.0,4.0,4.0,4.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Report de signature de contrat / Report d'embauche,5.0,,,Oui
Femme,1783049799429120,Oui,,2020.0,Formation initiale (hors apprentissage),Génie Biologique et Agroalimentaires (GBA),En activité professionnelle,,,,,,,,Non,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Bretagne,,15.0,0.0,Secteur privé,De 50 à 249 salarié(e)s ,Oui,Lactalis,"Qualité, hygiène, sécurité, environnement, normalisation, certification",Coordinatrice Qualité,Oui,Industrie agroalimentaire ,Industrie agroalimentaire ,,32400.0,Oui,34400.0,OUI,NON,OUI,OUI,Non,Quotidiennement,Rarement (quelques fois par mois),,stage de fin d'études,"stage de fin d'études|Réseau social professionnel (viadéo, Linkedln)|Site Internet spécialisé dans l'emploi (dont APEC)|Sites Internet d'entreprises",Les perspectives de carrière dans cette entreprise,oui,oui,4.0,4.0,5.0,4.0,4.0,5.0,Non,,activité professionnelle,De 1 à moins de 2 mois,Salarié(e) du secteur privé (y compris structure associative),CDD (contrat de travail à durée déterminée),,,,,,,,,,,,,,,,,,,5.0,,,Oui
Femme,1798885210343910,Oui,,2020.0,Formation initiale (hors apprentissage),Génie Biologique et Agroalimentaires (GBA),En activité professionnelle,,,,,,,,Oui,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Île-de-France,,4.0,3.0,Secteur privé,5 000 salarié(e)s ou plus,Oui,KPMG,Conseil en Opération (surtout Excellence Industrielle et Supply Chain),Consultante,Oui,Autres secteurs ,Autres secteurs ,,39000.0,Oui,40000.0,NON,NON,NON,OUI,Oui,Quotidiennement,Souvent (plusieurs heures par semaine),,Candidature spontannée,"Réseau social professionnel (viadéo, Linkedln)|Site Internet spécialisé dans l'emploi (dont APEC)|Candidature spontannée|Relations personnelles",L'adéquation avec un projet professionnel ,oui,non,4.0,3.0,4.0,3.0,4.0,5.0,Non,,Poursuite d'études (hors thèse),,,,,,,,,,,,,,,,,,,,,,3.0,,,Oui
Femme,1782333639900130,Oui,,2020.0,Sous contrat de professionalisation,Génie Biologique et Agroalimentaires (GBA),En activité professionnelle,,,,,,,,Non,Salarié(e),CDD (contrat de travail à durée déterminée) y compris de la fonction publique,18.0,En France,Nouvelle-Aquitaine,,17.0,0.0,Secteur privé,De 20 à 49 salarié(e)s ,Non,,Marketing,"Attachée marketing, R&d, packaging et communication ",Non,Industrie agroalimentaire ,Industrie agroalimentaire ,,24600.0,Oui,27000.0,OUI,NON,NON,OUI,Non,Quotidiennement,Rarement (quelques fois par mois),,Apprentissage (embauche dans l'entreprise d'accueil du contrat),Apprentissage (embauche dans l'entreprise d'accueil du contrat),L'absence d'alternative,oui,non,3.0,4.0,5.0,1.0,4.0,3.0,Oui,"Pour changer de ville, avoir un meilleur salaire et une meilleure reconnaissance ",,,,,,,,,,,,,,,,,,,,,,,4.0,,,Oui
Homme,1767641526750820,Oui,,2019.0,Formation initiale (hors apprentissage),Informatique et Gestion (IG),En activité professionnelle,,,,,,,,Non,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Occitanie,,25.0,1.0,Secteur privé,De 50 à 249 salarié(e)s ,Non,,Développement logiciel,Développeur Full Stack,Oui,Industrie des technologies de l'Information et de la Communication (TIC),Activités informatiques et services d'information (TIC services),,39000.0,Oui,42500.0,NON,NON,NON,OUI,Non,Quotidiennement,Quotidiennement,Moins d'un mois,Site Internet spécialisé dans l'emploi (dont APEC),"Plateforme emploi de l'école (Poly+)|Réseau social professionnel (viadéo, Linkedln)|Site Internet spécialisé dans l'emploi (dont APEC)|Démarché(e) par un 'chasseur de têtes'",Le secteur d'activité de l'entreprise,oui,oui,4.0,4.0,5.0,3.0,4.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail,4.0,NON,NON,Oui
