Date,sexe,identifiant,date_diplome,filiere,nationalite_francaise,nationalite,remuneration_annuelle_brute,prime,remuneration_prime,remuneration_annuelle_brute_hors_prime_premier_emploi,prime_premier_emploi,remuneration_annuelle_brute_avec_prime_premier_emploi
11/04/2023 12:09,Femme,1783049864940510.0,2020,Génie Biologique et Agroalimentaires (GBA),Oui,,32004.0,Oui,38171.0,,,
11/04/2023 09:56,Femme,1783049866242220.0,2022,Génie Biologique et Agroalimentaires (GBA),Oui,,,,,,Non,
11/04/2023 08:17,Homme,1798487086321680.0,2022,Sciences et Technologies de l'Eau (STE),Oui,,,,,,,
07/04/2023 22:35,Homme,1767828038717650.0,2022,Sciences et Technologies de l'Eau (STE),Oui,,,Oui,,,,
07/04/2023 19:51,Femme,1776690246603470.0,2022,Génie Biologique et Agroalimentaires (GBA),Oui,,,,,,,
07/04/2023 18:13,Homme,1888691983170700.0,2022,Eau et Génie Civil (EGC - apprentissage),Oui,,37200.0,Non,37200.0,,,
07/04/2023 15:56,Homme,1817047783382280.0,2022,Eau et Génie Civil (EGC - apprentissage),Oui,,41000.0,Oui,43000.0,,,
07/04/2023 13:36,Homme,1793784759342420.0,2021,Eau et Génie Civil (EGC - apprentissage),Oui,,43200.0,Oui,46700.0,,,
04/04/2023 13:49,Homme,1775874372476520.0,2020,Microélectronique Et Automatique (MEA),Oui,,44000.0,Oui,47000.0,,,
03/04/2023 19:20,Femme,1776167055017630.0,2020,Génie Biologique et Agroalimentaires (GBA),Oui,,37000.0,Oui,40000.0,,,
01/04/2023 00:00,Homme,47712125471966.0,2022,Mécanique et Interactions (MI),Non,Chinoise,33000.0,Oui,33000.0,,,
31/03/2023 20:14,Femme,1767189237564080.0,2021,Génie Biologique et Agroalimentaires (GBA),Oui,,38500.0,Oui,38500.0,,,
31/03/2023 16:50,Femme,1767558385274970.0,2020,Informatique et Gestion (IG),Oui,,47500.0,Non,47500.0,,,
31/03/2023 04:20,Femme,1767918585744120.0,2021,Génie Biologique et Agroalimentaires (GBA),,,,,,,,
30/03/2023 09:32,Homme,1776621626696670.0,2021,Informatique et Gestion (IG),Oui,,38500.0,Oui,40000.0,,,
29/03/2023 11:18,Femme,1875495945591220.0,2021,Génie Biologique et Agroalimentaires (GBA),Oui,,31200.0,Non,31200.0,,,
29/03/2023 11:11,Homme,1768549960161460.0,2022,Mécanique et Interactions (MI),Oui,,34450.0,Oui,34450.0,,,
29/03/2023 10:52,Femme,1782338205765760.0,2021,Matériaux (MAT),Oui,,33000.0,Non,33000.0,,,
28/03/2023 23:10,Femme,1794628360740710.0,2020,Génie Biologique et Agroalimentaires (GBA),Oui,,39039.0,Oui,42039.0,,,
28/03/2023 22:24,Homme,1783103733628220.0,2021,Génie Biologique et Agroalimentaires (GBA),Oui,,32000.0,Oui,34000.0,,,
28/03/2023 14:18,Homme,1783165143274690.0,2020,Informatique et Gestion (IG),Oui,,37500.0,Oui,38000.0,,,
28/03/2023 11:29,Femme,1783101035627220.0,2022,Génie Biologique et Agroalimentaires (GBA),Oui,,40000.0,Oui,41500.0,,,
